,Unnamed: 0,gender,age,emotion,base,rewriting
733,733,Female,18-39,Angry,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Protocol 11 is one of the tougher exercises and isn't right for every situation; I'm trying to determine if it's right for you. Did you give protocol 11 a try and find that it was too difficult?
741,741,Male,18-39,Angry,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"I see, thank you very much for sharing. Did a recent attempt of protocol 11 cause past emotions to flare up?"
746,746,Female,18-39,Angry,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,I understand and I'm sorry that this happened. Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?
748,748,Female,40-69,Angry,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Thank you for helping me to understand better. I would also like to know if you have recently attempted protocol 11 and, if so, did you find that it did more harm than good?"
749,749,Female,18-39,Angry,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"I would like to understand if protocol 11 is the right one for you, given that it can be quite intense. May I ask if you have attempted protocol 11 recently, and found this brought back negative emotions from the past?"
752,752,Female,40-69,Angry,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Thank you for that; I think that protocol 11 could help you deal with this event, however some people have reported that this protocol can be rather intense. Have you already tried protocol 11, and if so did it stir up difficult or traumatic emotions?"
754,754,Male,18-39,Angry,Thank you. Now I will ask some questions to understand your situation.,I'm glad you are open and sharing your emotions. I'd like to ask you a few more questions to better understand the situation.
756,756,Female,40-69,Angry,Thank you. Now I will ask some questions to understand your situation.,I appreciate that you're trying to work out your anger. Let's get answers to some questions so we can understand your situation better.
757,757,Male,40-69,Angry,Thank you. Now I will ask some questions to understand your situation.,I appreciate you sharing this with me. I'd like to ask a few more questions to help me understand your situation.
758,758,Female,18-39,Angry,Thank you. Now I will ask some questions to understand your situation.,"I'm sorry to hear that you're going through all this. Now I will ask you some more questions to understand what is going on, I hope that will be fine."
761,761,Male,18-39,Angry,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing that with me, I know it can be tough to be honest about such things. Now I will ask you a few questions to get a better idea of your current situation."
762,762,Female,18-39,Angry,Thank you. Now I will ask some questions to understand your situation.,"All of this is really valuable, thank you for answering so far. If it's alright, I'd like to ask more questions about how you're feeling."
765,765,Male,18-39,Angry,Thank you. Now I will ask some questions to understand your situation.,"I'm glad you could let me know that, thank you. Now if it's okay with you, I'd like to ask you some things so that I know for sure what's going on right now."
769,769,Female,40-69,Angry,Thank you. Now I will ask some questions to understand your situation.,"What you're experiencing sounds difficult. So I can better understand your situation, I'm now going to ask you some more questions."
775,775,Male,18-39,Angry,Thank you. Now I will ask some questions to understand your situation.,I hope we can work things out today and make you feel better. I have a few more questions to ask if that's ok.
778,778,Female,18-39,Angry,Thank you. Now I will ask some questions to understand your situation.,Thanks for all of your patience so far. I have a few more questions to better determine how to help.
779,779,Female,18-39,Angry,Thank you. Now I will ask some questions to understand your situation.,"You're strong, I'm sure if we work together all this will pass and you'll feel better. I would love to ask some more questions now so that I can understand."
781,781,Female,40-69,Angry,Thank you. Now I will ask some questions to understand your situation.,I appreciate you sharing it. Can I ask some questions now to make sure I understand everything?
784,784,Female,18-39,Angry,Thank you. Now I will ask some questions to understand your situation.,"Thank you for your honesty, I know it can be difficult. I'm just going to ask a few questions to get a better picture of your specific situation."
787,787,Female,40-69,Angry,Thank you. Now I will ask some questions to understand your situation.,"Thanks for sharing that with me, let's dive into it a little more. I would now like to ask you some more questions, so that I can help."
789,789,Female,40-69,Angry,Thank you. Now I will ask some questions to understand your situation.,Thank you so much for your responses. May I find out some additional information that will help me to be able to fully understand your concerns?
793,793,Female,40-69,Angry,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing, that is a completely normal and valid emotion that you are experiencing. Now, I would like to ask you some more questions to understand the situation better, if you do not mind."
794,794,Female,18-39,Angry,Thank you. Now I will ask some questions to understand your situation.,I am sorry you have to deal with this right now. Please let me ask you some questions so that I can determine what is the best course of action to make you feel better.
797,797,Female,40-69,Angry,Thank you. Now I will ask some questions to understand your situation.,"Thank you for answering so patiently, I understand it can be difficult. I would like to ask some more questions so that I can suggest the best course of action, if that's ok."
800,800,Female,40-69,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,"I understand you've been angry. Could you tell me whether, in addition to this anger, you have also experienced any of these strong emotions towards anyone:"
803,803,Male,18-39,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,Sometimes we feel very strongly in certain scenarios. Have you felt any of these emotions toward someone in your life:
813,813,Male,40-69,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,I'm sorry you are feeling bad and want to help by investigating some more. Have you expressed or experienced any of these negative emotions:
820,820,Female,18-39,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,There can be certain emotions we all feel but that can be unhealthy if we fixate on them or act from them. Have you felt any of the following emotions very strongly or expressed them toward others in recent days:
824,824,Male,18-39,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,"This is certainly not an ideal situation to be in, and I would like to investigate your emotional state a bit further if that's ok. Have you been feeling any of these strong emotions toward anyone specific:"
826,826,Female,18-39,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,It can be difficult to make sense of our emotions. Would you say that you've had any strong feelings or expressions of the following emotions:
830,830,Male,18-39,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,"I know this may be difficult, but could you tell me a bit more about your emotions. I'd like to know whether you have felt any of these emotions toward another person:"
833,833,Female,18-39,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,"We sometimes feel emotions that we think are bad, but the fact that we know they are bad makes us aware, so it's okay to feel those emotions, we all feel them someday. Have you strongly felt or expressed any of the following emotions towards someone:"
835,835,Female,40-69,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,"At times we may feel emotions that we are not proud of, but it is still important to recognise them, accept them and understand them. May I ask you whether you have felt any of the following emotions toward another person:"
836,836,Female,18-39,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,"There are moments in life where we may experience emotions that we are not proud of, but that is ok, as long as we are ready to learn from them. Would you say that you have felt any of the following emotions recently:"
838,838,Male,40-69,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,Please try to look candidly at your emotional state now. Do you think that you may have strongly felt any of the following emotions recently:
839,839,Female,40-69,Angry,Have you strongly felt or expressed any of the following emotions towards someone:,"Thank you, the next question is about negative feelings that can affect our life and relationships, and as such it is important that we learn to recognise them. Thinking about your recent past, is it possible that you have at times felt any of the following emotions toward someone:"
843,843,Male,18-39,Angry,Do you believe that you should be the saviour of someone else?,"I'm terribly sorry you are dealing with difficult emotions. Do you feel, perhaps, that you should be saving someone else in your life?"
851,851,Male,18-39,Angry,Do you believe that you should be the saviour of someone else?,"Sometimes when we're angry, it's because we want to help people, but we feel we can't or they won't let us. Do you feel that there is someone in your life who you're trying to save or rescue?"
858,858,Male,40-69,Angry,Do you believe that you should be the saviour of someone else?,"Thank you for your trust, it's ok to feel the way you are feeling. Do you believe you could - or should - be someone else's saviour?"
873,873,Male,40-69,Angry,Do you believe that you should be the saviour of someone else?,"Thank you, you are doing great. If I may ask, do you find yourself trying to save those around you?"
877,877,Female,40-69,Angry,Do you believe that you should be the saviour of someone else?,"Let's try to understand if something deeper caused you to feel this anger. Did anything happen recently, do you feel guilty toward someone perhaps... someone who you were unable to help?"
878,878,Female,40-69,Angry,Do you believe that you should be the saviour of someone else?,"Thank you for sharing this with me. So that I can help you better, could you tell me if you've been having the feeling that you need to help others in your life more than usual, or that it is your responsibility to save them?"
879,879,Female,18-39,Angry,Do you believe that you should be the saviour of someone else?,Let's try to work out if there are deeper reasons why you are feeling this anger. Could it be that you are frustrated because you are not able to rescue someone in your life from their own problems?
881,881,Male,40-69,Angry,Do you believe that you should be the saviour of someone else?,"Please try to think carefully about your recent past before answering this. Have you felt, lately, that it falls upon you to save others around you, help them overcome their problems at the expense of your own?"
908,908,Female,18-39,Angry,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Sometimes others cause us to suffer, but other times it may be that we are avoiding taking responsibility for our actions and choices. Do you feel you have been suffering because of other people?"
909,909,Male,18-39,Angry,"Do you see yourself as the victim, blaming someone else for how negative you feel?",I understand you are angry and you are hurting. Do you think those around you are causing the negative feelings you are experiencing?
915,915,Male,18-39,Angry,"Do you see yourself as the victim, blaming someone else for how negative you feel?","That's ok, thank you for letting me know. Do you feel, perhaps, that someone or something else is causing your negative feelings?"
920,920,Female,40-69,Angry,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Thank you, then we need to look elsewhere for the cause of your negative feelings. Is it other people that caused you to feel this way, for example someone in your family or at work?"
921,921,Female,40-69,Angry,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Ok, thank you for letting me know that. Perhaps you have gotten into a mindset where you're seeing yourself as the victim, and someone else is the perpetrator?"
922,922,Female,18-39,Angry,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I see, and what about feelings of victimisation, those can sometimes make us angry at the world. Do you feel like someone else is hurting you or taking advantage of you?"
924,924,Male,40-69,Angry,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Thank you for your answer, let's see if there is something else that is bothering you. Do you feel that someone has been abusing you or victimising you lately?"
938,938,Male,18-39,Angry,Do you feel that you are trying to control someone?,"Are you worried that you might take out these feelings of anger on someone, trying to control them perhaps?"
958,958,Female,40-69,Angry,Do you feel that you are trying to control someone?,Thank you again for helping me understand the situation. Is there any chance that you may be trying to control or manipulate someone else in your life?
960,960,Male,40-69,Angry,Do you feel that you are trying to control someone?,Thanks again for your cooperation. May I ask if you feel so responsible for someone that you may be trying to control them?
962,962,Male,40-69,Angry,Do you feel that you are trying to control someone?,"Sometimes we regret that we don't always have our life under control, and try to control others as a result. Do you feel that you may be trying to control someone?"
963,963,Female,40-69,Angry,Do you feel that you are trying to control someone?,"I wonder if your anger could be partially caused by a lack of control, and a desire for it. Do you feel unable, but would like to, exert control on a loved one, or on someone at work?"
964,964,Female,40-69,Angry,Do you feel that you are trying to control someone?,Control is something that we may desire when we feel we have little or none on our own life. Could it be that you are hoping or trying to control someone in your life?
965,965,Female,18-39,Angry,Do you feel that you are trying to control someone?,"Ok, thank you, then we need to look somewhere else to figure out why you are feeling like this. Could it be that you have a desire to control the words or actions of someone you know, but that desire is causing you frustration?"
981,981,Male,18-39,Angry,Are you always blaming and accusing yourself for when something goes wrong?,"It's normal to blame ourselves when something happens that hurts us, but if we always do this, it can build up into very angry feelings. Do you think that you tend to always blame yourself for every mistake?"
1002,1002,Female,40-69,Angry,Are you always blaming and accusing yourself for when something goes wrong?,"I understand, thank you for your patience. I would like to know, if possible, whether you think that you may have a tendency to always blame yourself whenever something bad happens."
1009,1009,Female,40-69,Angry,Are you always blaming and accusing yourself for when something goes wrong?,"Ok, thanks for answering that, and what about any feeling of guilt or culpability. Do you tend to feel you are at fault whenever something goes wrong?"
1010,1010,Female,18-39,Angry,Are you always blaming and accusing yourself for when something goes wrong?,"Hmm, then maybe you feel deep down that you are causing this. Do you always accuse yourself for your mistakes or failures, regardless of how responsible you really are for them?"
1018,1018,Male,18-39,Angry,"In previous conversations, have you considered other viewpoints presented?","I am sorry you are experiencing this negativity right now. If I may ask, and please be honest, would you say that you have always given full consideration to other people's viewpoints when these were presented to you?"
1033,1033,Male,40-69,Angry,"In previous conversations, have you considered other viewpoints presented?","Thank you for letting me know. Do you believe you have considered all your alternatives, every perspective from which you could view your current situation?"
1047,1047,Female,18-39,Angry,"In previous conversations, have you considered other viewpoints presented?","Thank you again for your patience today. I would like to know if you believe, in all honesty, that you have always considered carefully other people's viewpoints in previous discussions."
1053,1053,Female,40-69,Angry,"In previous conversations, have you considered other viewpoints presented?","Thank you, that helps me to understand you better. Do you believe you are someone who is capable of listening to others' advice and put it into practice?"
1056,1056,Male,40-69,Angry,"In previous conversations, have you considered other viewpoints presented?","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Do you consider yourself to be a good listener?"
1062,1062,Male,18-39,Angry,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Sorry to hear about your troubles, I am always here to help. Are you experiencing difficulties with any of your loved ones right now?"
1070,1070,Male,18-39,Angry,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"I'm sorry that you are angry, and I wonder if this may be a symptom of something bigger. Have other major difficulties been happening in your life recently?"
1077,1077,Male,40-69,Angry,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for the response. If you don't mind me asking, are you going through a personal crisis right now? Have your relationships or other matters been particularly difficult?"
1090,1090,Female,18-39,Angry,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for opening up to me, I'd like to help you let go of your negative thoughts. Could it be that you are undergoing a period of exceptional suffering right now, due to issues with family or loved ones?"
1091,1091,Male,40-69,Angry,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"I understand this is not a good moment for you, and maybe there is something bigger going on. Are you experiencing a personal crisis, facing unmanageable issues involving other people in your life?"
1095,1095,Female,40-69,Angry,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"You know, I am wondering whether this anger has deeper roots. Is there anything major going on in your life, a crisis or a major fallout with someone you care about?"
1096,1096,Female,18-39,Angry,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"I wonder if your anger could be triggered by something bigger that has been simmering under the surface. Have you been facing extraordinary difficulties lately, in your personal or professional life?"
1101,1101,Female,18-39,Anxious,Was this caused by a specific event/s?,I'm sorry to hear that. Has something happened to make you feel like that?
1102,1102,Male,18-39,Anxious,Was this caused by a specific event/s?,"As your friend, you can always tell me anything and I will try to assist you to the best of my abilities. Can you tell me if something happened that made you feel like this? "
1103,1103,Female,40-69,Anxious,Was this caused by a specific event/s?,I understand that you are feeling anxious. Please could you tell me a little more about this? Is the anxiety due to a specific event or events?
1105,1105,Male,40-69,Anxious,Was this caused by a specific event/s?,"I understand that you may be feeling anxious, I would like to help you if you could could give me some more details. Do think this could be linked with any particular event?"
1106,1106,Male,18-39,Anxious,Was this caused by a specific event/s?,I am sorry to hear this. Is there a specific event that may have caused you to feel this way?
1107,1107,Female,18-39,Anxious,Was this caused by a specific event/s?,"It's completely normal to feel how you are feeling, I understand and I'd like to help. Do you think this was caused by anything specific?"
1109,1109,Male,40-69,Anxious,Was this caused by a specific event/s?,I'm sorry to hear that. Is there anything in particular that made you feel like this?
1112,1112,Male,18-39,Anxious,Was this caused by a specific event/s?,I understand you're not feeling the best at the moment. Do you think the way you're feeling is related any particular incident?
1114,1114,Female,18-39,Anxious,Was this caused by a specific event/s?,"I'm so sorry you're feeling this way. I know this may be difficult to talk about, but was there a specific event that caused this?"
1116,1116,Male,18-39,Anxious,Was this caused by a specific event/s?,"Oh no, sorry to hear it. Is it something that has happened that triggered these feelings?"
1117,1117,Female,40-69,Anxious,Was this caused by a specific event/s?,That can be rough. Do you think it might be linked to something that's happened?
1118,1118,Female,18-39,Anxious,Was this caused by a specific event/s?,I'm sorry to hear you are feeling anxious. Did something happen to trigger these anxious feelings?
1121,1121,Female,18-39,Anxious,Was this caused by a specific event/s?,"If you feel comfortable sharing, could you tell me if that feeling comes from something specific that happened?"
1122,1122,Male,40-69,Anxious,Was this caused by a specific event/s?,I hope you can cope. Do you mind if I ask you whether a particular event or issue has caused your anxiety?
1123,1123,Male,18-39,Anxious,Was this caused by a specific event/s?,"Oh, that's not good. Is this to do with any particular event that has occurred?"
1124,1124,Female,18-39,Anxious,Was this caused by a specific event/s?,I'm sorry you're not feeling great. Has anything happened to make you feel this way?
1127,1127,Male,18-39,Anxious,Was this caused by a specific event/s?,I think it might help if we talk about what caused you to feel like this. Was it a specific event that distressed you?
1131,1131,Female,40-69,Anxious,Was this caused by a specific event/s?,I'm sorry you're going through this right now. Did any particular event cause this? I hope there is something I can do to help.
1132,1132,Female,18-39,Anxious,Was this caused by a specific event/s?,"Sorry to hear you're feeling that way, it's ok though to feel like that, you're not alone. Is there anything specific causing you to feel that way today?"
1133,1133,Male,40-69,Anxious,Was this caused by a specific event/s?,I am sorry to hear you're not feeling great today. Is it something specific that has caused you to feel this way?
1134,1134,Male,40-69,Anxious,Was this caused by a specific event/s?,"Oh, I am sorry to hear you are feeling anxious. Was this feeling caused by something beyond your control?"
1135,1135,Male,40-69,Anxious,Was this caused by a specific event/s?,"I realise that you are anxious about something and would like to help. Do you think that there is something specific, something that has happened that is causing this feeling?"
1136,1136,Female,18-39,Anxious,Was this caused by a specific event/s?,"Sorry to hear you are feeling anxious today, this must be difficult for you. Is there any particular reason why you are feeling like this today, did something happen?"
1137,1137,Male,40-69,Anxious,Was this caused by a specific event/s?,"I'm sorry to hear that, I can relate. Was there anything in particular that caused you to feel this way?"
1139,1139,Male,40-69,Anxious,Was this caused by a specific event/s?,"Oh that's tough, we've all been there so I understand. Is there something in particular that caused your feeling? Don't worry, we will try and work it out."
1141,1141,Female,18-39,Anxious,Was this caused by a specific event/s?,"I'm sorry you're feeling anxious at the moment, I want to be able to help in any way I can. I hope you don't mind me asking, but is there something that's happened in particular?"
1144,1144,Male,18-39,Anxious,Was this caused by a specific event/s?,I am sorry to hear it. Was it something in particular that made you feel this way?
1145,1145,Female,18-39,Anxious,Was this caused by a specific event/s?,"Thank you for letting me know how you feel, I would like to help you overcome this and feel better. May I ask, was your current feeling caused by a specific event (or events)?"
1146,1146,Male,18-39,Anxious,Was this caused by a specific event/s?,"That is really sad to hear, but it's okay to feel that way. Is there something specific that led to this feeling?"
1147,1147,Male,40-69,Anxious,Was this caused by a specific event/s?,I'm sorry to hear that. What happened? Did something in particular upset you?
1148,1148,Male,18-39,Anxious,Was this caused by a specific event/s?,"I am sorry to hear that you are feeling that way. I would like to ask you if this was caused by something specific, if you do not mind."
1150,1150,Female,18-39,Anxious,Was this caused by a recent or distant event (or events)?,That's tough. Was that recent or did it happen a while ago? Either way your feelings are completely valid.
1151,1151,Male,18-39,Anxious,Was this caused by a recent or distant event (or events)?,"I understand. Can you tell me the timing of this event so I can further understand what is making you anxious, was it recent or distant?"
1154,1154,Male,40-69,Anxious,Was this caused by a recent or distant event (or events)?,"Thank you, it may help me to know when this occurred . Would you be able to tell me, was this a recent or distant event?"
1155,1155,Male,18-39,Anxious,Was this caused by a recent or distant event (or events)?,"Thank you for sharing this. Without going into too much detail, was this event recent or has been this way for a while?"
1156,1156,Female,18-39,Anxious,Was this caused by a recent or distant event (or events)?,Im sorry that this happened to you. Did this happen recently or a while ago?
1161,1161,Male,18-39,Anxious,Was this caused by a recent or distant event (or events)?,"I know it can be hard to talk about these things, so thank you for opening up to me. Do you want to tell me a little more about when this incident happened, was it a recent incident or something in the past?"
1162,1162,Female,40-69,Anxious,Was this caused by a recent or distant event (or events)?,"I'm sorry to hear that, I hope you don't mind sharing with me when it happened. Was it recent or distant?"
1172,1172,Male,18-39,Anxious,Was this caused by a recent or distant event (or events)?,"Ok I see, please tell me more about it. When did this happen, recently or a while ago?"
1174,1174,Male,40-69,Anxious,Was this caused by a recent or distant event (or events)?,"I'm sorry to hear it. When did this happen, recently or a while back?"
1176,1176,Male,18-39,Anxious,Was this caused by a recent or distant event (or events)?,"Okay thank you, I'm glad you're comfortable talking about this. Was this event that caused your anxiety recent or a while ago?"
1178,1178,Female,40-69,Anxious,Was this caused by a recent or distant event (or events)?,"I'm sorry to hear that, I hope you don't mind elaborating a bit further. Did this happen recently, or was it further away in the past?"
1180,1180,Female,40-69,Anxious,Was this caused by a recent or distant event (or events)?,"I understand this may be difficult for you to talk about. May I just ask, is it something that happened recently or a while back?"
1185,1185,Female,18-39,Anxious,Was this caused by a recent or distant event (or events)?,"Thank you for sharing. Can you please tell me if this event that happened and caused your anxiety was in the recent or distant past? The more I understand, the more I can support you."
1187,1187,Female,40-69,Anxious,Was this caused by a recent or distant event (or events)?,It's great that you've been able to identify that. Was it a recent event or something that happened some time ago?
1189,1189,Female,40-69,Anxious,Was this caused by a recent or distant event (or events)?,"Oh no, that must have been difficult. Was this recent or distant?"
1191,1191,Female,18-39,Anxious,Was this caused by a recent or distant event (or events)?,"OK, that makes sense, thanks for telling me. Is this event something that happened a while ago, or recently?"
1193,1193,Female,18-39,Anxious,Was this caused by a recent or distant event (or events)?,"I'm sorry that happened to you, it's hard to go through something distressing. Did this occur recently or a while back?"
1194,1194,Male,18-39,Anxious,Was this caused by a recent or distant event (or events)?,I hope you are okay with talking about it. Is this something that caused your anxiety recent or was it something distant in the past?
1195,1195,Female,18-39,Anxious,Was this caused by a recent or distant event (or events)?,"I see, thank you for clarifying that. I would like to know, was this event quite recent, or more distant in the past?"
1198,1198,Male,18-39,Anxious,Was this caused by a recent or distant event (or events)?,"I understand, and I am sorry to hear that. May I ask if this feels like something that happened recently, or is it a memory of something more distant in the past?"
1200,1200,Female,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I wonder, do you think trying protocol 6 to revisit the event, if you have done so, may have contributed to this feeling?"
1201,1201,Male,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I understand this event has been distressing to you. Have you revisited this event recently in an attempt to find closure in it, but all it has done is bring back the unbearable emotions you had during the event?"
1202,1202,Female,40-69,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"As you may know, protocol 6 can be used to examine events like these. Have you had any experience with protocol 6? And, if so, did you find that it brought difficult emotions to the surface that were associated with past events?"
1204,1204,Male,40-69,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Sometimes it can help to address anxiety which is linked with a traumatic event from the past through protocol 6. Have you already tried protocol 6, and if so have you actually found that the emotions it brought back were too intense?"
1211,1211,Male,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"In some cases protocol 6 can be useful to look back at a particularly traumatic event, but this can sometimes trigger a troublesome emotional response. Have you used protocol 6 before, and did it cause you to have any unmanageable emotions?"
1212,1212,Female,40-69,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,I wonder if something may have reignited this feeling now. Have you tried to remember or revist this event and felt anxious as a result?
1213,1213,Female,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Revisiting traumatic events by attempting protocol 6 can bring up negative and unmanageable emotions. Have you attempted to revisit the event by taking protocol 6 and felt bad as a result?
1216,1216,Female,40-69,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Sometimes bad feelings may come back because something happens to bring them up again. Have you tried protocol 6 recently, and had trouble distancing yourself from the negative feelings that arose thinking about the past?"
1217,1217,Female,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you for sharing this with me. Can I ask, have you discussed this past event recently or attempted to relive it and may that have caused you some discomfort or brought up some negative emotions?"
1221,1221,Male,40-69,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,I appreciate that it can be difficult to overcome negative thoughts from the past. Has trying out protocol 6 recently jogged your memory and caused you anxiety by making you recall this event?
1222,1222,Male,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Protocol 6 can be of great help but I know that it can also sometimes cause unwanted stress. Have you given protocol 6 a go recently and found yourself too distressed after taking it?
1224,1224,Male,40-69,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I know this is hard, so thank you for sharing with me. Did trying protocol 6, if you have, reignite this bad feeling for you?"
1226,1226,Male,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Dealing with past traumas can be really tough, I appreciate your courage. May I ask if you have attempted protocol 6, but found it too tough?"
1228,1228,Female,40-69,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I know that protocol 6 can often be a trigger for renewed feelings of anxiety around a past traumatic event, so before I recommend it I'd like to know if that has happened to you. Is protocol 6 something you have tried recently and has it made you feel anxious?"
1230,1230,Female,40-69,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Sometimes when we go through certain protocols and find that, as we do, these can uncover negative emotions and experiences. Have you ever tried protocol 6 but found it too distressing?"
1231,1231,Female,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Protocol 6 can really bring back memories, and that can be good or bad depending on the situation. Have you tried protocol 6, and has it negatively affected you?"
1234,1234,Male,40-69,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Very well, I'm sure you are familiar with protocol 6. Have you made an attempt at protocol 6 recently and if you have, did you feel that this brought up some feelings that were difficult to deal with when you thought of these past events?"
1235,1235,Female,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,It can be difficult to cope with what has happened in the past. Have you already tried protocol 6 to revisit this event but found it too hard and painful?
1240,1240,Female,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Sometimes revisiting traumatic events can be more painful than it's worth. Did you try to revisit this event recently, but found it too hard?"
1242,1242,Female,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Protocol 6 has been known to negatively affect some people, and I wonder if it could be causing your current emotions, if you attempted it recently. Are you familiar with protocol 6, and if so do you think it might have contributed to your anxiety?"
1243,1243,Male,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you, I was thinking of protocol 6 as a possible recommendation for you, but I know that sometimes and in certain situations it can be unpleasant. Have you given protocol 6 a try and was it unpleasant for you?"
1244,1244,Female,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I feel that I could suggest protocol 6 to you to deal with this past event, however I would like to make sure that it is right for you. Have you attempted protocol 6 in the past and found that it reignited uncomfortable emotions?"
1246,1246,Male,40-69,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Protocol 6 can sometimes upset people, so I wonder if that has happened to you. Is protocol 6 something you have tried and found yourself upset as a result of it?"
1247,1247,Male,18-39,Anxious,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Protocol 6 could help in your situation, however it is not right for everyone, so I would like to understand if it is the appropriate choice for you. Have you already undertaken protocol 6 in the past and found that it reignited unmanageable emotions as a result of old events?"
1250,1250,Male,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"I understand this event has been distressing to you. Have you revisited this event recently in an attempt to find closure in it, but all it has done is bring back the unbearable emotions you had during the event?"
1251,1251,Female,40-69,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"As you may know, protocol 11 can be used to examine events like these. Have you had any experience with protocol 6? And, if so, did you find that it brought difficult emotions to the surface that were associated with past events?"
1253,1253,Male,40-69,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Sometimes it can help to address anxiety which is linked with a traumatic event from the past through protocol 11. Have you already tried protocol 11, and if so have you actually found that the emotions it brought back were too intense?"
1260,1260,Male,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"In some cases protocol 11 can be useful to look back at a particularly traumatic event, but this can sometimes trigger a troublesome emotional response. Have you used protocol 11 before, and did it cause you to have any unmanageable emotions?"
1261,1261,Female,40-69,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,I wonder if something may have reignited this feeling now. Have you tried to remember or revist this event and felt anxious as a result?
