response,annotator1_score,annotator2_score,annotator3_score,empathy_score
Has it helped you?,0,0,0,0
Is this something that has happened more recently or in the past?,0,1,1,1
"Thank you for your answers so far. May I ask if you feel that you are undergoing a personal crisis right now, or if you are experiencing unmanageable interpersonal difficulties with those around you?",2,1,2,2
"I understand this may be difficult for you to talk about. May I just ask, is it something that happened recently or a while back?",2,2,2,2
Are you feeling the need to be the savior of someone else in your life?,0,0,1,0
"Ah, I see. Is this something that's happened recently or a while ago?",0,1,1,1
May I ask whether it happened recently or long ago?,2,1,1,1
Do you find that others are often to blame for things that go wrong around you?,1,1,1,1
"Thank you for being brave and sharing your feelings today, I appreciate that. I look forward to our next session.",2,1,2,2
Did the event happen recently or in the past?,0,0,0,0
Do you believe it is someone else's fault that you are feeling so low?,0,1,0,0
Do you ever imagine what it would be like to have a viewpoint other than your own?,1,0,0,0
"If you don't mind sharing, do you feel this way because of a particular incident?",2,1,2,2
"Thanks, you were brilliant today. I hope I will see you soon, bye!",1,1,0,1
Do you believe saving someone's life or alleviating their problems would make you feel better about yourself?,1,0,0,0
Do you feel like a victim in this situation?,1,0,0,0
Did something in particular happen that led to this?,0,0,1,0
"Thank you, I am sorry you're struggling right now and want to help. Let's move on to the next questions and try to resolve this situation.",2,2,2,2
"I am sorry to hear that you feel worse. Do you feel like attempting another protocol, perhaps?",2,1,2,2
Have you experienced any of the following emotions or wanted to express them towards another person:,0,0,1,0
"In your heart of hearts, is this a personal crisis you're experiencing, or do you feel hurt by your loved ones or friends?",1,1,2,1
"Could it be that in order to fix your situation and feel better, you are trying to control others in your life?",2,1,2,2
"Thank you. Would you say that perhaps you are trying to control someone else, make them do what you want them to do or say what you want to hear?",1,2,2,2
"I see, thank you. Do you consider yourself to be someone else's victim?",1,0,1,1
Thank you so much for talking to me. I look forward to speaking again soon.,1,1,2,1
"Could your sadness be related to some bigger problem, like an intpersonal crisis between you and your loved ones?",2,1,1,1
"I'm sorry to hear that you are feeling sad. Do you know what led to such a sad feeling, was it a specific event?",1,2,2,2
"Thanks for doing that. Has it made a difference? Do you feel better now, or worse?",1,1,2,1
"I know this may be difficult, but could you tell me a bit more about your emotions. I'd like to know whether you have felt any of these emotions toward another person:",2,2,2,2
Other than what you've mentioned are any of these feelings also involved in what you've been experiencing recently:,1,1,2,1
"How are you feeling now? After taking this protocol, do you think you're feeling better or worse than before?",0,1,1,1
Did that happen quite recently or a while back?,0,0,0,0
Do you blame someone else for this negative emotions you are dealing with?,0,0,1,0
Would you say that you're often too hard on yourself?,0,1,1,1
"Taking all you have said into consideration, I believe that you are feeling {}, is this the case? Please feel free to correct me if not.",1,2,2,2
"Is being someone else's savior important to you, and will it do you good?",1,0,1,1
"If I may ask, do you ever find yourself blaming other people for the way you feel?",1,2,2,2
"Oh, that's not good. Do you think we could try again, perhaps with a completely different protocol?",2,2,2,2
Do you have a tendency to always blame and accuse yourself when something is not right or goes wrong?,0,0,1,0
Has anything happened recently that has made you feel alienated from your support network of friends and family?,1,0,1,1
"Has someone hurt you, or worried you, and are you upset with them because they have caused you so much trouble?",1,0,0,0
"If I may ask, do you blame others for how you're feeling today?",1,0,1,1
Do you think there may be other viewpoints that could be taken into account in your current situation?,1,1,1,1
"If I'm understanding correctly, you would identify as being {}, is that a fair assessment?",1,1,2,1
Does your situation make you feel as though someone else was at fault?,1,0,1,1
"If I may ask, are you struggling with personal issues right now?",1,1,2,1
Would you like to choose one to try?,0,0,0,0
How about we try a different one?,0,0,1,0
"I wonder, do you think trying Protocol 6 to revisit the event, if you have done so, may have contributed to this feeling?",2,1,2,2
"May I ask if you feel like a victim right now, and blame your feelings on others?",0,1,1,1
Do you feel you might always unintentionally be hurting yourself when you think things are not going your way?,1,1,2,1
"Do you think you might have, or desire, the power to influence someone else?",1,0,0,0
Sometimes people can be adversely affected when trying Protocol 6. Have you tried using Protocol 6 recently and found the experience distressing?,2,1,1,1
"Are you having feelings of victimization, and feel like someone else around you is causing you to feel this way?",0,1,0,0
Please help me understand further. Is this a recent event that has occurred or is it something from the distant past?,1,2,2,2
I hope you are okay with talking about it. Is this something that caused your anxiety recent or was it something distant in the past?,2,2,2,2
"Do you consider yourself to be someone who listens to other points of view, when it comes to your conversations?",0,0,1,0
I have a few ideas on some protocols that I think would really benefit you. Which one would you like to try?,2,1,2,2
Do you find yourself always taking the blame when things go wrong?,0,0,1,0
"There's a variety of protocols we can try, I want to find the one that works best for you. Please go ahead and take a look, you can select whichever protocol you feel most comfortable with.",2,1,2,2
I'm very sorry for that. Would you be able to highlight the emotion that you are actually feeling right now from the ones below?,2,2,2,2
"Thank you for being open and sharing with me. You seem like you're {} today, would you say that too?",2,2,2,2
Can you give me a bit of help to make sure I do understand? Here's a list - please let me know which one describes what you're feeling:,2,1,1,1
Has this difficult situation caused you to have any of these emotions and/or act on them:,1,0,1,1
"Would you describe this moment of your life as an intense and complex time where you, your relationships and affections are being strongly challenged?",2,2,2,2
"Have you attempted to look at things from someone else's perspective, and did it help?",2,1,1,1
"I know it can be hard to talk about these things, so thank you for opening up to me. Do you want to tell me a little more about when this incident happened, was it a recent incident or something in the past?",2,2,2,2
"May I suggest a protocol to help enhance and maintain good feelings, it may really help?",1,1,2,1
I'm so sorry to hear that. Can you identify a specific event that caused you to feel that way?,1,2,2,2
"Ok I see, please tell me more about it. When did this happen, recently or a while ago?",1,2,2,2
Do you feel like others are responsible for your negative feelings?,0,1,1,1
"Do you always take responsibility, even when it may not be your fault?",1,1,1,1
"If I may ask, do you think it is someone else's fault for you feeling this anger?",1,2,2,2
Is it possible that your sadness could be caused by not being able to save someone in your life who you feel needs saving?,2,1,2,2
These are my recommendations. Please select the  protocol you'd like to attempt.,0,1,0,0
Are you trying to control someone that's uncooperative?,0,0,0,0
"It's a great feeling. May I suggest a protocol to help enhance and maintain good feelings, it may really help?",2,1,1,1
"As your friend, you can always tell me anything and I will try to assist you to the best of my abilities. Can you tell me if something happened that made you feel like this? ",2,2,2,2
I'm so sorry. There may be a better protocol if you'd like to try another one?,1,1,2,1
Did something specific bring on this feeling?,0,0,0,0
"I understand you are feeling anxious. In addition to this feeling, have you recently also felt any of the  following emotions towards someone:",1,2,2,2
Please select the one which you think is best suited for you.,1,0,0,0
May I ask if something specific caused this feeling?,1,1,2,1
"Could it be, perhaps, that you trying to rescue someone?",0,1,1,1
Do you think you should sacrifice yourself for others?,0,0,0,0
"Taking all you have said into consideration, I believe that you are feeling {}, is this the case? Please feel free to correct me if not.",2,1,2,2
Do you ever feel like you're attempting to control someone?,0,0,1,0
Now I will ask some questions to understand your situation.,0,0,0,0
"I would like to know a bit about how you view your role within your social circle. Do you often feel that it is your job to save others, or that other people expect you to be that way?",2,2,2,2
"Was that event recent, or was it more distant in your past?",0,0,1,0
"Was this because of something that happened recently, or are you remembering something from the more distant past?",1,1,2,1
Is someone else at fault for making you feel like a victim?,0,1,0,0
How do you feel now? I hope that it will have been of benefit to you.,2,2,2,2
Do you ever imagine what it would be like to have a viewpoint other than your own?,0,0,1,0
Did something recent or distant trigger these feelings?,0,0,0,0
Did anything happen?,0,0,0,0
Are you always trying to be critical of yourself?,0,0,1,0
"I want to thank you for sharing your thoughts and feelings with me today. I really would like to see you again soon, so please drop by when you can.",2,2,2,2
"I'm sorry to hear that, I hope you don't mind sharing with me when it happened? Was it recent or distant?",1,2,2,2
Would you feel really uncomfortable reliving this past negative event?,0,1,1,1
"Thinking back to previous situations and conversations with others, have you ever stepped outside your thought process and pondered viewpoints that may challenge yours?",1,2,2,2
Let me know which protocol you would prefer to try.,0,0,0,0
Did using Protocol 6 after this happened make your feelings more uncontrollable based on this past situation?,1,0,0,0
"It's normal to blame ourselves for our problems on occasion, but we should be careful not to make this into a destructive habit. Do you notice that you're always blaming yourself for anything that goes wrong?",2,2,2,2
Are you experiencing difficulty in your personal relationships (debacle with a friend for example)?,0,0,1,0
Have you strongly felt or expressed any of the following emotions towards someone else that you are aware of:,0,1,1,1
Do you feel that you have been harmed and that it is the fault of someone else?,0,1,1,1
I'm sorry you are feeling worse. Maybe we should sit down together and try another protocol that might be more beneficial to you?,1,2,2,2
"Thinking about it, have you truly considered other viewpoints and perspectives presented to you by other people in the past?",0,1,1,1
Is there someone else causing your sadness?,0,1,0,0
"In order to try to make you feel better, I need to understand if anything happened to cause this; was it a specific event?",2,1,1,1
I apologise sincerely. Could you please help me by selecting the option from the list that best matches how you're feeling?,1,2,2,2
"Thanks, I hope you feel better now but it's ok if you think you feel worse. How do you feel after taking this protocol? ",2,2,2,2
I hear that you are feeling anxious. Is there anything that has happened that might be causing you to feel this way?,1,1,2,1
Do you feel that the situation that is causing you to experience these feelings is recent or distant?,1,0,1,1
How are you feeling after taking this protocol? Do u think it has benefited you or not?,0,1,1,1
"Ah, that's not good, maybe a different choice would be better. Would you like to do another one?",1,1,2,1
Are you going through a personal crisis?,0,0,0,0
Was it a specific event that caused it?,0,0,0,0
"You can give this this protocol a try now, and when you are ready to continue, you can select 'continue'.",1,0,0,0
Thank you for telling me that. Would you mind if I asked you some questions about these feelings?,1,2,2,2
So sorry. Kindly select how you're feeling from the emotions below:,1,2,2,2
"Fantastic! I have a protocol to suggest which will keep you feeling good, would you like to have a look?",1,1,2,1
"Is this situation making you feel any particularly negative emotions, such as the ones listed below:",1,0,1,1
"Thank you so much for your honesty and efforts today, much appreciated. I hope to see you again soon.",2,2,2,2
I'm sorry to hear that. May I also ask if it was caused by a recent or distant event (or events)?,1,2,2,2
I would like to better understand why you are experiencing this negative feeling right now. Do you believe saving someone's life or alleviating their problems would make you feel better about yourself?,2,2,2,2
"You may have talked about and been presented with various viewpoints to consider. Have you really thought about other perspectives and viewpoints, when these were presented to you?",1,1,2,1
Do you feel that someone else is trying to hurt you?,0,1,1,1
"Thank you so much for letting me know. Would you say this event happened quite recently, or are you remembering something from the more distant past?",2,1,2,2
Do you feel you have to save someone else?,0,0,1,0
I would like to know if there is anything happening right now in that feels bigger than normal. Do you feel like you are facing a personal crisis?,2,1,2,2
"I know this may be hard for you to discuss but your information has been very useful, thank you. Is it OK if I continue to ask you some more questions so I can get a clearer understanding of your situation?",2,2,2,2
I appreciate that you felt comfortable enough to share that with me. Do you feel up to sharing some more so I can help?,2,2,2,2
Did the event that is making you feel this way happen recently or a long time ago?,1,1,1,1
"Would you like to tell me what event triggered these feelings, was it a recent one or a distant one in the past?",2,1,1,1
Thank you for answering that. Have you been able to consider alternate views and opinions presented to you in previous conversations?,1,2,1,1
"I understand, thank you. Could it be perhaps that you see yourself as the victim in this circumstance?",1,1,2,1
"Thank you for that, perhaps Protocol 11 could help you deal with this event, however before I can recommend it i'd like to make sure that you haven't had a bad experience with it in the past. Have you already attempted Protocol 11 and if so, did it stir up difficult or traumatic emotions?",2,1,2,2
I understand that you are going through a difficult moment and I believe that diving into the nature of these emotions will help me understand the best approach to take in order to help get rid of your distress. Have you ever felt or expressed any of the following emotions towards a person or people:,2,2,2,2
Do you feel that you could be trying to affect or change somebody else's behaviour?,0,1,1,1
Do you feel like you are trying to be responsible for someone else's actions?,0,0,1,0
"If I may, do you think that perhaps you are trying to be someone else's saviour?",2,1,1,1
Do you feel that your current emotion may have been caused by a specific event or events?,1,1,1,1
I will see you again soon.,0,0,0,0
Are you having a particularly difficult time right now? Do you feel that you need help?,1,1,2,1
"That's completely normal to feel this way, you are not on your own with this. Would you like to try a different protocol to see if it makes you feel any better?",2,2,2,2
Sometimes we can become overwhelmed with negative emotions. Have you had any experience of these emotions toward someone:,1,2,2,2
"Protocol 11 can bring up emotions you may not have felt in a long time, so I wonder if it would be the right choice for you. Is it possible that you have recently attempted Protocol 11 and this has reignited negative emotions?",2,2,2,2
"Ok, thats unfortunate, I apologise. There are many different protocols to choose from, so would you like to attempt another protocol?",1,2,2,2
Would you like to try a protocol?,0,0,0,0
"Would you say that your life too chaotic right now, and that is becoming overwhelming?",1,0,2,1
Do you ever try to consider how someone else might think or feel in your situation?,1,0,0,0
Do you think that sometimes you might feel the need to come to someone's rescue?,0,1,1,1
"Are you fully aware of the other side of your current situation, do you know or have ever considered the impact on others?",0,0,1,0
You may have had other conversations in the past where you talked about other views and perspectives. Have you ever taken any advice or new perspective that was offered to you into practice in your own life?,2,1,2,2
"Do you think that in order to feel better about yourself, you need to help other people?",1,0,0,0
"Im really pleased that you could participate. I hope that we will be in touch very soon, thanks again.",1,2,2,2
"Would you say that you're prone to trying to help others, possibly even at the expense of your own happiness?",2,1,2,2
"Would you say, perhaps, that you always blame yourself when something goes wrong?",1,1,2,1
Is it possible that you might be forcefully influencing someone else's decisions and behaviour?,2,0,1,1
How are you feeling after taking this protocol? Do u think it has benefited you or not?,1,0,0,0
Was this due to a recent or a more distant event or events?,0,0,0,0
Have you noticed that you always blame or accuse yourself for any negative situations lately?,1,0,0,0
"Great, let's go ahead then. Once you've tried your best and finished, come back and press ""continue"".",1,2,2,2
"In previous conversations, did you stop to listen and think about other opinions presented?",0,1,0,0
Are there any major personal problems in your life right now?,0,0,1,0
Are you always taking the blame when things go wrong or accuse yourself for things that happen?,1,0,0,0
"Ok, I hear how you are feeling. Could I make a different recommendation for you to try?",2,1,1,1
I really would like to understand more about what goes on in your life at the moment. Is it that you always feel you have to be minding or rescuing someone else?,2,1,2,2
"It's normal to blame ourselves for our problems on occasion, but we should be careful not to make this into a destructive habit. Please tell me, are you always putting the blame on yourself when things go wrong? ",2,2,2,2
I am really sorry to hear that. Maybe we should sit down together and try another protocol that might be more beneficial to you?,1,2,2,2
I'll see you soon!,0,0,0,0
"Have you taken a step back and considered all angles, looked at your situation from others' point of view?",1,0,1,1
"Do you think about what others think, and take their opinions on board?",0,0,1,0
"Do you think that somebody else is making you do something, or is hurting you in some way?",0,0,1,0
"Do you, even without realizing it, try to control the people around you?",0,1,1,1
What about trying a different protocol and seeing if that makes you feel better?,0,0,1,0
"I'm sorry you are feeling sad and in order to help you I would like to dig a bit deeper. If you don't mind me asking, are you going through a rough personal crisis?",1,2,2,2
Does the event that caused your sadness feel recent or distant?,1,0,1,1
"I would really like to help you feel better, and may need to know a little more about this event. For example, was it very recent or did it happen in the more distant past?",2,2,2,2
Nice to hear you're in a good mood. I actually have a beneficial protocol you could try.,1,0,1,1
Do you think it's your mission to save someone else?,0,0,0,0
I see. And would you mind telling me whether this happened recently or in the past?,0,1,1,1
"Thank you, I would like to know how you are feeling now. Do you think the protocol had any positive or negative effects?",1,2,2,2
"That can sometimes happen, but there are more protocols here which might work better for you. Would you like to try another and see if it helps?",1,1,2,1
Do you ever feel like you're attempting to keep someone under your control?,0,0,1,0
Are you frustrated right now with trying to control someone or something that you can't?,0,0,0,0
Would you like to try a different protocol?,0,0,1,0
Would you like to try again with a different one?,0,0,1,0
Thank you so much for letting me know. Would you say that it was a recent or distant event (or events) that caused this emotion?,2,1,2,2
I'm sorry you're going through this right now. Did any particular event cause this? I hope there is something I can do to help.,2,2,2,2
"Could it be that you're trying to control someone, perhaps?",1,1,2,1
"Forgive me please. Without leading you, please choose how you feel from the list I'm giving you.",2,2,2,2
Do you ever feel like you need to control the actions of others as a way to cope?,1,2,2,2
"Thank you for entrusting me by sharing how you feel. From what you have told me I would say that you are feeling {} right now, does that sound about right?",2,2,2,2
Did this event happen recently or a while ago?,1,0,0,0
"Have a read through the protocol, please take your time and go at your own pace, there's no rush. When you have completed it, press 'continue'.",2,2,2,2
Would you say you feel like the blame always belongs with you when something goes wrong?,1,1,2,1
Did that happen recently or a while ago?,0,0,0,0
It's your choice which one you want to follow.,1,0,0,0
"Do you feel like you're currently experiencing intense personal difficulties, possibly with your loved ones or friends?",2,1,2,2
"Thank you for trusting in me and sharing how you feel. If I understand correctly, you are feeling {} right now, would you say that's true?",2,2,2,2
"In all honesty, do you think that controlling someone is okay, or would you ever do it?",1,0,1,1
Do you always feel that you are to blame when things go wrong?,0,1,0,0
"I would like to know, if possible, if you feel that you have always given full and careful consideration to different points of view that were presented to you in the past.",2,1,2,2
"If I may ask, do you always feel that you messed up somehow?",2,1,1,1
Do you reckon you may be acting in a controlling way?,1,0,1,1
Did something specific bring on this feeling?,0,0,1,0
Do you remember if you have strongly felt or expressed any of the following emotions recently toward someone:,0,0,1,0
Thank you for letting me know that. Do you feel like others caused you to feel this way?,2,1,2,2
Are you having trouble relating to your friends or family these days?,0,0,1,0
I'm sorry to hear that. May I also ask if it was caused by a recent or distant event (or events)?,1,2,2,2
Please select a protocol from the ones below.,0,0,0,0
"Are you going through a rough patch, or a personal crisis? if so, you can tell me.",1,1,2,1
Do you always blame yourself when something goes wrong?,0,0,1,0
Do you always unfairly hold yourself accountable for what happens to you?,1,0,1,1
Do you see yourself as a saviour?,0,0,0,0
"I would like to know if you feel understood or antagonised by others around you; this is important for me to be able to help you. Do you think others around you are part of the problem, are they responsible for your sadness?",1,2,2,2
How do you feel about the protocol?,0,0,1,0
Im sorry that this happened to you. Did this happen recently or a while ago?,1,2,2,2
"Did you notice if there were unbearable emotions that came up from attempting Protocol 11 (if you have attempted it), due to past events?",1,1,2,1
Do you always feel that problems are your own fault?,0,0,1,0
Have you expressed or felt any of these negative emotions towards yourself or others in the past:,0,1,0,0
Are you trying to take charge of someone?,0,0,0,0
"Some people have found that Protocol 11 doesn't necessarily help them, so I am trying to evaluate whether it could be right for your current situation. Have you tried Protocol 11, and did it cause you to feel any negative emotions?",2,1,2,2
"With that feeling, are you having any thoughts that you should be saving another person?",1,0,1,1
I'm sorry about that. Was this caused by a specific event/s?,1,1,2,1
I understand. Was this to do with something that happened recently or a more distant event?,1,2,2,2
Sorry to hear that. Was it a recent or a more distant event that caused this?,1,2,2,2
How do you feel after having taken this protocol?,0,1,1,1
"I am so sorry, I didn't mean to misjudge. Please select an emotion from the list below that best describes the way you are feeling:",2,2,2,2
Do you feel like you are being judgmental towards yourself and always blame yourself in the face of adversity?,1,2,2,2
Is there something personal you are currently going through?,0,0,1,0
Are you usually able to put yourself in the other person's shoes?,0,0,1,0
Are you open minded and able to listen to other people's ideas?,0,0,0,0
Do you feel like you have let someone down?,0,0,1,0
"Perhaps your stress stems from something difficult you are personally going through. Are you experiencing any difficulties with loved ones, or friends?",2,1,2,2
"Thank you, I hope that was helpful to you. Could you tell me if you are feeling better or worse after taking this protocol?",2,2,2,2
Thank you for your cooperation so far. May I ask if you feel obliged to rescue other people in your life from their own problems?,1,2,2,2
How do you feel about the protocol? Did it help you feel better or did it have the opposite effect?,1,2,2,2
Do you feel like you have let someone down?,0,0,1,0
See you soon.,0,0,0,0
That's so great to hear! I can suggest a protocol that works well for hanging on to positive feelings.,1,2,2,2
"I understand, thank you, then I'd like to dig a little deeper. Do you feel you are a victim in this regrettable situation?",1,2,2,2
Would you say that the reason you're feeling these emotions is completely because of someone else?,1,0,2,1
Could it be that you are subconsciously trying to steer or guide another person's behaviour?,1,1,2,1
"Sorry for the misunderstanding. Could you please select from the emotions below the one that best reflects what you are feeling, so I can understand it better?",1,2,2,2
"That's ok, not everyone feels better after the first one. How about we try another one and see how we get on with that one?",2,2,2,2
Are there any major issues or fallouts with the people you are closest to right now?,0,0,1,0
"I've had a think at what might suit you best. If you take a look at the options and let me know which protocol you would like to attempt, that would be great.",1,0,2,1
I am sorry I misunderstood that. Could I ask that you choose from the list below the emotion that more accurately captures how you are feeling?,2,1,2,2
"During a conversation, do you usually consider other people's point of view?",1,0,0,0
That can be rough. Do you think it might be linked to something that's happened?,2,1,2,2
I'm sorry you feel that way. Was this caused by something specific?,1,1,2,1
Do you feel that someone else is to blame for your sadness?,0,1,1,1
May I ask if you have felt or expressed any of these emotions towards someone:,0,1,1,1
"Has this protocol changed how you feel, either for better or worse?",1,0,1,1
I am sorry this happened to you and wish to help. Could you please tell me if this event was recent or distant?,2,2,2,2
"Thank you for your answer, I am always here to understand and help you, never to judge. Is it possible that you are trying to take charge of someone else's life?",2,2,2,2
Thank you for sharing with me today. Come back to me anytime you want to talk.,1,1,2,1
"I am sorry you are experiencing this negativity right now. If I may ask, and please be honest, would you say that you have always given full consideration to other people's viewpoints when these were presented to you?",2,1,2,2
How do you feel after this protocol?,0,0,0,0
Do you feel like someone is or was trying to hurt you?,0,1,0,0
"If you don't mind me asking, I'd like to know if you blame others for these negative feelings that you are experiencing.",1,1,0,1
"That's okay, thank you for letting me know. Do you feel you do not share any responsibility for this, and others are to blame for having hurt you?",2,1,2,2
"OK, thank you. Can you let me know is this something that has happened recently, or was it a while ago?",0,1,1,1
I have some suggestions of some protocols that you can try. Please choose one to view now:,1,0,1,1
"I appreciate this may be new but try to go through this protocol now. When you finish, press the 'continue' button.",2,1,2,2
"Was this recently, or did it happen some time ago?",0,0,1,0
There are other protocols we could try instead. Would you be open to that?,1,0,0,0
Are you experiencing any difficulties with your loved ones?,0,0,1,0
Would you like to try another protocol and see if it also makes you feel better?,1,0,1,1
Would you like to attempt another protocol instead?,0,0,1,0
"I can see you may be feeling {}, is this accurate?",0,0,1,0
May I ask if you always blame yourself for everything that goes wrong in your life?,2,1,1,1
"Please take some time to go through the protocol now. When you are ready, please come back so we can continue.",1,2,2,2
Are you able to listen to other people's perspectives?,0,0,0,0
"Would you say that in previous conversations you have always listened to others' points of view, taking time to carefully consider their perspective?",1,2,2,2
"I can identify with that. Now, are these feelings the result of an event that happened recently or a long time ago?",2,2,2,2
"Is there a power struggle involved, between you and one or more people in your life, where someone needs to win?",0,0,1,0
"Sorry to hear it, well done for getting through it. If you would like to try another protocol to see if this suits you better, there are other options for you.",2,2,2,2
"The exercises in Protocol 11 can be difficult for some, so I would like to know if they would be the right choice for you. Did you attempt the exercises in Protocol 11 and find them difficult or traumatic?",2,1,2,2
Do you always blame yourself for any problem?,0,0,0,0
"Did this happen recently, or is it something that's been preying on your mind for a while?",1,1,2,1
Is anyone to blame for the ailments you've been feeling?,0,0,1,0
I would like to know if you are always feeling responsible when something bad happens.,1,0,0,0
I'm sorry to hear that. Should we perhaps try another?,1,2,2,2
"Feeling strong emotions towards others is quite normal, I'm not here to judge you for it. Have you felt or expressed any of the following emotions towards others:",2,2,2,2
How do you feel after doing this protocol? I hope it has helped.,1,2,2,2
"I see. So you are feeling {}, is that correct?",0,0,1,0
"Did that help to make you feel better, or not really?",0,0,1,0
Thank you for your patience today. See you soon!,1,0,1,1
Did you do Protocol 6 and did it make you feel worse?,0,0,1,0
That's tough. Was that recent or did it happen a while ago? Either way your feelings are completely valid.,2,2,2,2
"Do you always feel like you're the one at fault, even when perhaps you shouldn't?",1,2,2,2
Do you feel you're a victim?,0,0,1,0
Do you think that you need to be the saviour of anyone else?,0,0,1,0
"Thank you for letting me know. Do you believe you have explored all of your options, including those that may have been suggested to you by other people?",2,1,2,2
"In all honesty, do you think that you are always available to consider alternatives to your point of view?",1,1,2,1
Do you feel like someone needs your help?,0,0,1,0
Is there something in particular that is causing you to feel this way?,0,0,1,0
Is this something that happened recently or a longer time ago?,0,1,0,0
"Sometimes we can reflect feelings of envy, greed, jealousy, hatred or malevolence upon others, and past mistrust can lead to thoughts of revengefulness, but be reassured that all of these emotions are perfectly normal to feel. Do you think you could perhaps be feeling any of these emotions:",2,2,2,2
"Ok, here are my suggestions. You can choose whichever protocol you feel would work best for you right now.",1,0,0,0
Do you think that you need to be the saviour of anyone else?,0,0,1,0
I can recommend some protocols that might help. Feel free to choose from these protocols the one you prefer.,1,0,2,1
Is there someone around you or in your life that you are trying to control?,0,0,1,0
"Do you think that this situation, and the people in it, are something that you're trying to dominate?",1,0,1,1
Other people you have communicated with may have offered a few suggestions. Were any of the suggestions made by others regarding your current situation helpful to you?,2,1,2,2
"Did you notice if there were unbearable emotions that came up from attempting Protocol 6 (if you have attempted it), due to past events?",1,2,2,2
Thank you. Would you say that you are facing a hard time in your personal life?,1,1,2,1
Could you tell me if you are feeling better or worse after taking this protocol?,1,2,1,1
"I hope you don't mind me asking, but are you facing a difficult time?",1,1,2,1
"I understand, thank you. Would you say this event happened quite recently, or are you remembering something from the more distant past?",2,1,2,2
"Thank you so much for your honesty and efforts today, much appreciated. See you again soon!",2,2,2,2
"I'm terribly sorry you are dealing with difficult emotions. Do you feel, perhaps, that you should be saving someone else in your life?",1,2,2,2
"Oh, that's not good. Was there something that triggered this feeling?",2,1,2,2
"Thank you for sharing your emotions with me, I understand it may be hard to deal with them right now. So that I can help you better, could you tell me if a specific event caused you to feel this way?",2,2,2,2
"Thank you. I'd like to know if you may be undergoing a particularly difficult moment, due to problems with friends or family.",1,2,2,2
Thank you for your time. I'm sure we'll cross paths again!,1,0,1,1
Has this feeling arisen because of a recent or distant event?,1,0,0,0
How are you feeling after having taken the protocol?,0,0,1,0
Do you think this helped you feel better or made you feel worse?,0,0,1,0
Please let me know which one you would like to attempt.,0,0,1,0
Do you think going through another protocol could help?,1,0,1,1
Is the reason for this feeling something that happened in your younger days or more recently?,2,1,1,1
Do you feel a need to control others?,0,0,0,0
May I recommend a therapeutic protocol to enhance your positive feelings?,1,2,1,1
See you later!,0,0,0,0
"Now you have tried this protocol and reached the end, do you feel better or worse about your situation?",1,0,1,1
I'm very sorry to hear that. Would you be up to attempting another protocol?,1,2,2,2
Are you experiencing any difficulties with your loved ones?,0,0,1,0
"Have you had a personal issue with friends or loved ones lately, a falling out, perhaps, or have you had family issues?",1,1,2,1
"Thank you for your trust, please help me understand better. Would you say that, in previous conversations, you have always been willing to listen to other people's views and opinions?",1,2,2,2
Do you consider yourself to be a victim of someone else's actions?,0,0,1,0
I'm sorry that hasn't helped. Shall we try another?,0,1,2,1
"When looking at your situation, are you always blaming and accusing yourself for what is going on?",1,0,0,0
"I'm sorry, sometimes it's hard to know how someone is feeling behind a keyboard. Instead, do you mind choosing an emotion from this list which is more suitable for your current state?",2,1,2,2
"Thanks for your selection! I would appreciate it if you could try to go through this protocol now. Once you are done, you can come back and press the 'continue' button.",1,2,2,2
"I would like to ask how you feel about the protocol, and whether it has helped you. Do you feel better, or has it actually made you feel worse?",2,1,2,2
I really appreciate the time that you have taken and all that you have shared with me. I hope to be in touch again soon.,2,2,2,2
Do you feel the burden of responsibility for the outcome of someone else's fate?,1,2,1,1
Thank you so much for spening time with me on this session. I really look forward to seeing you soon.,1,2,2,2
"When something goes wrong, do you always give yourself the blame?",0,0,1,0
"Oh, my bad. So how would you say you are feeling today?",1,0,1,1
Was this brought about by a recent or distant event?,0,0,1,0
Did this thing happen recently or is it something in the past?,0,0,0,0
Do you think your feeling originates because you blame others for how negative you feel?,1,0,1,1
Could it be that you are trying to save someone else here?,1,0,1,1
"And was this event, or events, distant or recent?",0,0,0,0
Do you blame someone for your current emotion?,0,0,1,0
"I understand, thank you for sharing. Would you say that it was a recent or a distant event, so that I can get a better picture?",2,2,2,2
I am grateful for your participation today. I look forward to more fruitful engagements with you in the future.,1,1,2,1
"Thanks for trying the protocol. If you think about how you felt before taking it and how you feel now, would you say you feel better or worse?",2,1,2,2
I would really like to take the time to thank you for being such an amazing participant. It would be lovey to see you agiain soon.,1,2,2,2
"Maybe we need to look deeper into your situation. We could work through some other protocol, if you like.",2,1,2,2
"Please try this protocol. When you are done, press 'continue'.",0,0,1,0
"From what you've told me, it sounds like you're feeling {}, is this right?",1,0,1,1
May I ask if you feel able to consider other people's points of view?,2,1,1,1
"Thank you, I understand. If I may ask this, do you feel that everyone is out to get you right now?",2,1,2,2
Here are my thoughts on which protocols would be best suited for you. Which of the following would you like to explore?,1,2,2,2
I want to sincerely thank you for taking part in this. I hope to see you soon!,1,2,2,2
"Are you experiencing a tough time right now, have you fallen out with friends or loved ones?",1,0,1,1
Have you recently tried thinking about this event but found it too painful?,0,0,1,0
I am going to give you a list of emotions. I would like you to consider them and then tell me if you have strongly felt any of them or expressed any of them towards someone in particular:,1,2,2,2
