,gender,age,emotion,base,rewriting,semantic,empathy
469,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你最近有没有尝试过协议 11 并发现这种由于最近的记忆而重新点燃的无法控制的感觉？,3,1
470,男性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,您是否考虑过可以改变您对当前状况的看法的各种观点和观点？,10,1
471,女性,18-39,愤怒,这是由特别事件引起的吗？,是否发生了某个或多个事件导致您出现这种情况？,0,1
472,男性,40-69,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你是否因为你觉得别人对你做过的事情而受伤？,7,0
473,男性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,你有没有想过其他人可能提出的建议，哪些现在对你有帮助？,10,1
474,女性,18-39,焦虑,当出现问题时，您是否总是责怪和指责自己？,我明白了，那很好，谢谢。最近，你是不是总发现事情没有按计划进行时，总是把责任推到自己身上？,9,2
475,男性,40-69,焦虑,您认为您应该成为别人的救星吗？,你认为至少你的一些焦虑可能是因为你有责任拯救别人吗？,6,1
476,女性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,在最近与人的谈话中，你是否充分考虑了他们的观点和观点，并试图通过他们的眼睛来看待情况？,10,1
477,男性,40-69,愤怒,当出现问题时，您是否总是责怪和指责自己？,没关系，谢谢。您是否认为您最近总是在为某事责备自己？,9,1
478,男性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,谢谢你让我知道。您是否相信您已经探索了所有选项，包括其他人可能向您建议的选项？,10,2
479,女性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,您是否觉得有人以任何方式伤害了您？,7,1
480,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢你，很抱歉你现在正在挣扎并想提供帮助。让我们继续讨论下一个问题，并尝试解决这种情况。,4,2
481,男性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,你觉得你现在的个人生活不稳定吗？您与家人或朋友的关系是否岌岌可危？,11,1
482,女性,40-69,所有情绪,请现在尝试通过此协议。完成后，按“继续”,感谢您的选择，您现在应该可以看到协议了；请看看你是如何处理它的。完成后，您可以按“继续”。,17,2
483,女性,18-39,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你觉得有人可能对你目前的感受负责吗？,7,1
484,女性,40-69,愤怒,这是由特别事件引起的吗？,谢谢，如果您能详细说明一下您感到如此生气的原因，我将不胜感激。是特定事件造成的吗？,0,2
485,男性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,我有一些您可以尝试的推荐协议。你现在有什么想尝试的吗？如果是，请选择它。,16,1
486,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢分享。如果你没问题，我还有一些问题。,4,1
487,女性,40-69,焦虑,您认为您应该成为别人的救星吗？,您认为其他人会从您的帮助中受益吗？,6,0
488,男性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,感谢您的分享。我现在想问你几个问题，让我更好地了解你。,4,1
489,男性,18-39,焦虑,当出现问题时，您是否总是责怪和指责自己？,你是否觉得在经历了一次消极的经历后，你总是对自己太苛刻，而不是把一些责任推到你无法控制的事情上？,9,1
490,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我理解你很伤心，在这种复杂的情况下这是完全有道理的。我现在有几个问题要问您，以帮助我了解正在发生的事情。,4,2
491,女性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,这真是个好消息。我们试试另一个，看看我们怎么样？,19,1
492,女性,18-39,快乐,那很好！让我推荐一个您可以尝试的协议。,很高兴听到你有这种感觉。我有一个协议可以增强这种积极的感觉，你想试试吗？,12,2
493,男性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,我想帮忙。请回答几个问题，帮助我更好地了解您的情况。,4,1
494,男性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 6 可能对您的情况有所帮助，但它并不适合所有人，因此我想了解它是否适​​合您。您是否已经在过去执行了协议 6，并发现它由于旧事件而重新点燃了无法控制的情绪？,2,2
495,男性,40-69,焦虑,您认为您应该成为别人的救星吗？,首先，让我告诉你，我完全理解你来自哪里以及拥有这些感觉是什么感觉。我想知道，在你的内心深处，你认为总是把别人放在第一位是合理的还是健康的？,6,2
496,男性,18-39,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,当你情绪低落时，你是否发现自己曾经责怪别人？,7,1
497,男性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,我真的希望在我的帮助下你会感觉好些。让我们深入了解一下这个问题的根源。,4,1
498,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你，也许协议 6 可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过糟糕的经历。你是否已经尝试过协议 6，如果是，它是否激起了困难或创伤性的情绪？,2,2
499,女性,18-39,焦虑,您觉得您在试图控制某人吗？,我明白了，谢谢，我还有一个问题想问。你有没有觉得生活中有些事情或人太难以预测了，并希望你能对它们有更多的控制？,8,2
500,男性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,想一想，你会不会说遇到问题时总是自责？,9,1
501,女性,40-69,悲伤,这是由特别事件引起的吗？,你能告诉我这是否是由特定事件引起的吗？,0,1
502,男性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,感谢你的分享。这是最近发生的事情还是很久以前发生的事情？,1,1
503,男性,40-69,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,感觉你的感觉是可以的。你相信你是你情绪如此低落的受害者吗？,7,1
504,男性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,看看您的个人生活，您是否觉得自己正在经历个人危机（与亲人有困难，例如与朋友吵架）？,11,1
505,女性,40-69,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你提供信息。你能告诉我你最近是否尝试过协议 11 并发现由于旧事件，这重新点燃了无法控制的情绪？,3,1
506,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白了。你会说这是最近发生的还是遥远的事件？,1,1
507,男性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,我明白了，谢谢。你不开心是因为别人让你感觉不好，就像你被他们伤害了一样，你是受害者？,7,1
508,男性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,请问最近几天，您是否对生活中的某个人有以下强烈的感受或表达：,5,1
509,女性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,我有一些建议可能对你有用。你能告诉我你想尝试哪种协议吗？,16,1
510,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否注意到由于最近发生的事件，尝试协议 11（如果您尝试过）是否有无法忍受的情绪？,3,1
511,女性,40-69,焦虑,当出现问题时，您是否总是责怪和指责自己？,你认为你总是对自己很苛刻吗？,9,0
512,女性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,其他人会因为你的心情不好而受到责备吗？,7,0
513,女性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,我想知道您现在是否正在经历特别困难的时期。,11,0
514,男性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,您是否觉得意外情况总是要归咎于您？,9,0
515,男性,18-39,所有情绪,感谢您的参与。再见,感谢您的参与，我真的很感激，您的努力非常宝贵。祝你有美好的一天！,15,2
516,男性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,您是否觉得在日常生活中与亲近的人有麻烦？,11,0
517,男性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,这是个好消息，谢谢你让我知道。您现在想尝试另一种协议吗？,19,1
518,男性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,谢谢，我很欣赏你的诚实，在我看来你是一个非常开放的人，但是有时很容易过于执着于我们的信念，这会阻止我们作为个人成长。老实说，您是否觉得自己一直能够接受其他人的观点？,10,2
519,男性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,您是否充分考虑了过去与之交谈的人的观点？,10,0
520,男性,40-69,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,谢谢你。我的印象是你感觉{}，对吗？,13,1
521,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,谢谢你的回应。接下来，会有一些问题，以便我们更好地了解您的情况。,4,1
522,女性,40-69,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我明白你为什么会感到焦虑。你认为尝试协议 11 会重新点燃这些难以控制的情绪吗？,3,1
523,男性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,我非常乐意倾听您的担忧并与我分享您的感受。你愿意多说几句，以便我给你提供一些有用的建议吗？,4,2
524,男性,40-69,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,如果您尝试过协议 11，结果如何，是否勾起了不好的回忆？,3,1
525,女性,18-39,快乐,那很好！让我推荐一个您可以尝试的协议。,那太棒了！我碰巧有一个可以帮助最大化这些积极情绪的协议，你想看看吗？,12,2
526,女性,40-69,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？,0,2
527,男性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,引起你愤怒的事件，你认为是最近发生的还是不久前发生的？,1,1
528,男性,18-39,悲伤,您觉得您在试图控制某人吗？,在内心深处，当你可以控制或操纵别人做你想做的事时，你会感觉良好吗？,8,1
529,男性,18-39,所有情绪,感谢您的参与。再见,非常感谢您的时间和努力。祝你有美好的一天！,15,2
530,男性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,感谢您的耐心等待，我真的很感激。你能告诉我，你是否觉得在你生命中的这一刻正在经历个人危机，在工作或家庭中遇到严重的困难？,11,2
531,男性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,我知道当我感到焦虑或害怕时，我有时会不假思索地做出消极的反应；我想知道你是否也遇到过同样的情况。如果我可以问，你会说你对某人有强烈的感受或表达过以下任何一种情绪吗：,5,2
532,女性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试过协议 6，如果尝试过，您是否发现它带来了过去的困难情绪？,2,1
533,女性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,我深表歉意。请从下面的列表中选择最能描述您的感受的情绪：,14,1
534,男性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,我对一些协议有一些想法，我认为它们会真正使您受益。你想尝试哪一个？,16,1
535,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢你向我解释这个。我想问一些后续问题。,4,1
536,女性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,太好了，谢谢你的时间。您想继续使用另一个协议吗？,19,1
537,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,谢谢你让我知道。这是由最近或遥远的事件（或事件）引起的吗？,1,1
538,男性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,当你情绪低落时，你是否总是为生活中的错误而责备自己？,9,1
539,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,所有这些都非常有价值，感谢您到目前为止的回答。如果可以的话，我想问更多关于你的感受的问题。,4,2
540,女性,18-39,焦虑,当出现问题时，您是否总是责怪和指责自己？,我知道了。看看你自己，你会说你总是觉得有责任感还是在出现问题时责备自己？,9,1
541,男性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,你会不会说每次出了问题你总是责备自己？,9,1
542,女性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,谢谢你，你做得很好，和我分享这个。如果你没问题，我想再问一些问题，以真正了解你正在经历的事情。,4,2
543,女性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,我很高兴您发现这有帮助，并且您这样做后感觉好一些。你认为你也会从另一个协议中受益吗？,19,2
544,男性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,无论如何，您是否通过协议 11 并且这是否带来了与过去事物相关的不良情绪？,3,1
545,女性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,感谢您的信任，请帮助我更好地理解。你是说，在之前的谈话中，你一直愿意听取别人的看法和意见吗？,10,2
546,男性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,我想知道你对你在这个角色中的角色有什么看法。在目前的情况下，您是否觉得自己是一个受害者，想要将自己的负面情绪转移到其他人身上？,7,1
547,女性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,我想知道你的悲伤是否可以在更广泛的问题上解决。您在生活中是否遇到任何重大问题，例如，您是否与所爱的人闹翻了？,11,2
548,男性,40-69,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,很好，我相信你对协议 11 很熟悉。你最近有没有尝试过协议 11，如果你尝试过，当你想到这些过去的事件时，你是否觉得这带来了一些难以处理的感觉?,3,2
549,女性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,我很抱歉，我不是故意误判的。你有这些情绪吗？如果是这样，请通过选择它让我知道：,14,2
550,女性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,遵循协议 11（如果有）是否激起了任何不愉快的感觉？,3,0
551,男性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试过协议 6？这是否带来了不舒服的回忆，让你感到不知所措？,2,1
552,女性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,你敢于分享。我现在想再问一些问题，以便更好地了解情况。,4,1
553,男性,18-39,悲伤,您认为您应该成为别人的救星吗？,你有没有感觉到或想到任何让你有想要拯救别人的冲动的事情？,6,1
554,男性,18-39,焦虑,当出现问题时，您是否总是责怪和指责自己？,您是否感觉到每当出现问题时，您总是倾向于责备和指责自己？,9,0
555,女性,40-69,焦虑,这是由特别事件引起的吗？,有什么特别的事情让你有这种感觉吗？,0,0
556,女性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你有没有觉得自己受到了任何形式的伤害？,7,0
557,女性,18-39,焦虑,您觉得您在试图控制某人吗？,您认为在管理您的负面情绪时，您是否可能对生活中的某个人表现出控制性行为？,8,1
558,女性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,你认为自己是一个乐于倾听他人观点的人吗？,10,0
559,女性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,你目前正在经历什么个人的事情吗？,11,0
560,女性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,你有没有注意到你最近总是因为任何消极的情况而责备或指责自己？,9,0
561,女性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,你会说你经常对自己太苛刻吗？,9,1
562,男性,40-69,焦虑,您觉得您在试图控制某人吗？,您是否可能因为觉得别人做了您应该更多控制的事情而感到焦虑？,8,1
563,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,有些人发现协议 11 不一定对他们有帮助，所以我试图评估它是否适合您当前的情况。您是否尝试过协议 11，它是否让您感到任何负面情绪？,3,2
564,女性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,我明白了，谢谢。您是否觉得自己是其他人行为的受害者？,7,1
565,女性,18-39,焦虑,您觉得您在试图控制某人吗？,没关系，谢谢你让我知道。难不成你就是想控制别人的人？有时，当我们自己经历痛苦时，我们可能会这样做。,8,2
566,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢你让我知道，我很感激。我现在想做的是问几个关于正在发生的事情的问题，这样我就可以更好地了解正在发生的事情。,4,2
567,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这是最近发生的事情还是很久以前发生的事情？,1,1
568,女性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,现在，在你的朋友或家人圈子里，有什么事情困扰着你吗？,11,0
569,男性,40-69,所有情绪,采取此协议后，您感觉更好还是更糟？,该协议是否让您感觉更好，还是产生了相反的效果？,18,0
570,女性,18-39,悲伤,您认为您应该成为别人的救星吗？,你相信你可以通过帮助别人来帮助自己吗？,6,0
571,女性,18-39,焦虑,您认为您应该成为别人的救星吗？,谢谢你。您是否觉得其他人过于依赖您的支持？,6,1
572,女性,18-39,愤怒,您觉得您在试图控制某人吗？,好的，谢谢你，那我们需要去别的地方看看你为什么会有这种感觉。可能是你有控制你认识的人的言行的愿望，但这种愿望让你感到沮丧？,8,2
573,女性,40-69,焦虑,这是由特别事件引起的吗？,这是因为发生了什么事情吗？,0,0
574,女性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试使用协议 6，如果是，是否让您的情绪激增？,2,1
575,男性,18-39,悲伤,这是由特别事件引起的吗？,是否有什么特别的事情似乎引起了这种感觉？,0,1
576,男性,18-39,愤怒,这是由特别事件引起的吗？,有没有一件特别的事情让你有这种感觉？,0,0
577,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,请问您是否已经通过协议11并发现它带回了困难的情绪？,3,1
578,男性,18-39,愤怒,您认为您应该成为别人的救星吗？,你是否觉得有责任拯救另一个人，也许是一个所爱的人？,6,1
579,男性,40-69,焦虑,这是由特别事件引起的吗？,好吧，我想知道是什么让你有这种感觉。有没有发生什么让你感到焦虑的事情？,0,1
580,女性,40-69,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,有时我们可能会觉得其他人要为我们的感受负责。您认为现在有人正在引起您的焦虑吗？,7,2
581,女性,18-39,愤怒,您觉得您在试图控制某人吗？,你觉得你最近需要为别人的行为负责吗？,8,0
582,男性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,除了你提到的这些感受之外，你最近的经历也涉及到这些感受：,5,1
583,女性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,如果可能的话，我想知道您最近是否经历过任何消极和难以处理的情绪。你能告诉我，你对你认识的人是否有强烈的感受或表达过以下任何情绪：,5,2
584,女性,40-69,悲伤,您认为您应该成为别人的救星吗？,你觉得你可以做些什么让别人变得更好吗？,6,0
585,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你最近是否尝试过协议 6，如果你尝试过，它是否会从过去的事件中带来困难的情绪？,2,1
586,男性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,如果您曾经尝试过协议 6，是否会引发困难的感觉？,2,1
587,女性,18-39,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,您认为是否有任何外部因素可能会影响您的感受，例如其他人的行为、言语或行为？,7,1
588,男性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,我是来找你的，谢谢你与我分享。你介意我再问你几个问题吗？,4,1
589,女性,18-39,焦虑,您觉得您在试图控制某人吗？,你是否感觉好像你需要控制别人，因为你觉得自己失去了控制？,8,1
590,女性,40-69,所有情绪,感谢您的参与。再见,很高兴与您交谈，感谢您抽出宝贵时间。暂时再见。,15,2
591,女性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,你觉得别人的意见有道理，你听他们的吗？,10,0
592,男性,18-39,所有情绪,采取此协议后，您感觉更好还是更糟？,现在，这样做后立即感觉好转或恶化是完全正常的。你说完成协议后的感受如何？,18,2
593,男性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我们有时可能会经历一些我们可能会羞于承认的困难情绪，但它们是完全正常的，我们识别并处理它们很重要。你能告诉我你是否感受到或表达了以下任何一种情绪：,5,2
594,男性,40-69,愤怒,您认为您应该成为别人的救星吗？,我想问你，即使是自费帮助别人，你是否是天生的？,6,1
595,女性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,我真的很高兴你感觉好多了。也许您准备好尝试另一种协议？,19,2
596,男性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,请问，您是否尝试过协议 6 中的练习，这是否困难或痛苦？,2,1
597,女性,18-39,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,您现在的个人生活中是否有任何事情造成了额外的压力？,11,0
598,女性,40-69,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,谢谢您的回答。我现在想问你，你是否觉得自己是受害者，让你有这种感觉应该怪别人。,7,1
599,女性,40-69,悲伤,您觉得您在试图控制某人吗？,再次感谢，这对我的理解很有帮助。可能是你试图控制或操纵别人做你想让他们做的事情？,8,2
600,女性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,你告诉我你一直感到焦虑，现在我想更广泛地询问你的情绪状态。下面的情绪怎么样，你有没有强烈地感受过这些情绪，或者向别人表达过这些情绪：,5,2
601,男性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,非常抱歉。请从以下情绪中选择您的感受：,14,2
602,男性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 6 有时会让人们感到不安，所以我想知道您是否遇到过这种情况。协议 6 是否是您尝试过并因此感到不安的东西？,2,2
603,女性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,你总是愿意听取别人的建议吗？,10,0
604,女性,18-39,焦虑,这是由特别事件引起的吗？,很抱歉你感觉不太好。有发生过什么事情让你有这种感觉吗？,0,2
605,男性,40-69,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,感谢您对我的信任并分享您的感受。如果我理解正确，您现在感觉{}，您会说这是真的吗？,13,2
606,男性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,没关系，谢谢你让我知道。您是否觉得，也许是某人或某事引起了您的负面情绪？,7,2
607,女性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,感谢您到目前为止的回答。请问您现在是否觉得自己正在经历个人危机，或者您是否正在与周围的人遇到难以处理的人际关系困难？,11,2
608,女性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,在我们进一步讨论之前，我想了解一下协议 6 是否适合您。你能告诉我你是否已经尝试过协议 6，是否会引发任何愤怒的情绪？,2,1
609,女性,40-69,愤怒,这是由特别事件引起的吗？,有什么特别的事情让你有这种感觉吗？,0,0
610,男性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,我有一些协议可以帮助你。您想选择一款来尝试吗？,16,1
611,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢，感谢您与我分享，我知道这可能很困难。我想再问几个问题，以便更好地了解您的情况。,4,2
612,男性,40-69,悲伤,这是由特别事件引起的吗？,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,0,2
613,男性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白。你能告诉我这个事件的时间，以便我进一步了解是什么让你感到焦虑，是最近的还是遥远的？,1,2
614,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,您是在回忆遥远的过去还是最近的事情？,1,0
615,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,在我们继续之前，我想评估哪种协议最适合您的情况。您是否已经通过协议 11 并发现它对您产生了负面影响？,3,1
616,女性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,这是最近发生的还是前一段时间发生的？,1,0
617,男性,40-69,所有情绪,感谢您的参与。再见,我很高兴你参加了今天的会议。一会儿再说。,15,1
618,女性,40-69,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,谢谢，那么我们需要在别处寻找导致您负面情绪的原因。是其他人让您有这种感觉，例如您的家人或工作中的某个人吗？,7,2
619,女性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 6 确实可以唤起回忆，这取决于情况的好坏。您是否尝试过协议 6，它是否对您产生了负面影响？,2,2
620,女性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,谢谢，下一个问题是关于可能影响我们生活和人际关系的负面情绪，因此我们学会识别它们很重要。想想您最近的过去，您是否有时会对某人产生以下任何情绪：,5,2
621,男性,18-39,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,虽然在生活中遇到一些困难是正常的，但与亲人分手或与朋友闹翻等重大事件有时会导致个人危机。你认为你现在可能正在经历一场严重的危机吗？,11,2
622,男性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,您是否发现您对生活中的人有强烈的负面情绪？这些可能包括：,5,1
623,男性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,您现在是否在与他人的关系中遇到重大困难或挑战？,11,0
624,女性,18-39,焦虑,谢谢。现在我会问一些问题以了解您的情况。,到目前为止，您一直很棒，您的感受绝对有效，我知道重新审视或解决焦虑或过去的事件可能非常困难。可以问一些问题以了解您的情况吗？,4,2
625,男性,40-69,愤怒,这是由特别事件引起的吗？,你会说是什么特定的事情让你有这种感觉吗？,0,1
626,男性,40-69,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,我想您可能会感觉到 {}，您认为这是真的吗？,13,1
627,男性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,你会说，出了事总是自责吗？,9,1
628,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这种感觉是因为最近或遥远的事件而产生的吗？,1,0
629,男性,40-69,愤怒,当出现问题时，您是否总是责怪和指责自己？,当出现问题时，您是否觉得自己总是在责备和指责自己？,9,0
630,女性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,我认为您可以从这些协议中的任何一个中受益，让您感觉自己是最好的自己。请告诉我您想尝试哪一种。,16,1
631,男性,40-69,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,有时它可以帮助通过协议 11 解决与过去的创伤事件相关的焦虑。你是否已经尝试过协议 11，如果是的话，你是否真的发现它带来的情绪过于强烈？,3,2
632,男性,40-69,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,抱歉，那我一定是弄错了。请告诉我，您正在经历以下哪种情绪？,14,2
633,男性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,真是太好听了！您想尝试一种符合您心情的协议吗？我希望它可以激励你，让你的一天更加明亮。,12,2
634,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,根据过去的情况，在这件事发生后使用协议 6 是否让您的情绪更加无法控制？,2,1
635,男性,40-69,愤怒,当出现问题时，您是否总是责怪和指责自己？,当事情出错时，您是否发现自己总是要承担责任？,9,0
636,女性,40-69,愤怒,这是由特别事件引起的吗？,这是因为某些特定的事情而发生的吗？,0,0
637,男性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,很抱歉你感觉不好，想通过更多调查来帮助你。您是否表达过或经历过以下任何负面情绪：,5,2
638,男性,18-39,快乐,那很好！让我推荐一个您可以尝试的协议。,我看你是！如果可以的话，我想推荐一个协议。,12,1
639,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我很感激你与我分享这个。如果您觉得合适，我希望您现在提供更多信息给我。,4,2
