Sex,Age,Sad - Patient response 1,Sad - Patient response 2,Sad - Patient response 3,Sad - Was this caused by a specific event/s?,Sad - Was this caused by a recent or distant event (or events)?,Sad - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Sad - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Sad - Thank you. Now I will ask some questions to understand your situation.,Sad - Have you strongly felt or expressed any of the following emotions towards someone:,Sad - Do you believe that you should be the saviour of someone else?,"Sad - Do you see yourself as the victim, blaming someone else for how negative you feel?",Sad - Do you feel that you are trying to control someone?,Sad - Are you always blaming and accusing yourself for when something goes wrong?,"Sad - In previous conversations, have you considered other viewpoints presented?",Sad - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Angry - Patient response 1,Angry - Patient response 2,Angry - Patient response 3,Angry - Was this caused by a specific event/s?,Angry - Was this caused by a recent or distant event (or events)?,Angry - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Angry - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Angry - Thank you. Now I will ask some questions to understand your situation.,Angry - Have you strongly felt or expressed any of the following emotions towards someone:,Angry - Do you believe that you should be the saviour of someone else?,"Angry - Do you see yourself as the victim, blaming someone else for how negative you feel?",Angry - Do you feel that you are trying to control someone?,Angry - Are you always blaming and accusing yourself for when something goes wrong?,"Angry - In previous conversations, have you considered other viewpoints presented?",Angry - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Anxious - Patient response 1,Anxious - Patient response 2,Anxious - Patient response 3,Anxious - Was this caused by a specific event/s?,Anxious - Was this caused by a recent or distant event (or events)?,Anxious - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Anxious - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Anxious - Thank you. Now I will ask some questions to understand your situation.,Anxious - Have you strongly felt or expressed any of the following emotions towards someone:,Anxious - Do you believe that you should be the saviour of someone else?,"Anxious - Do you see yourself as the victim, blaming someone else for how negative you feel?",Anxious - Do you feel that you are trying to control someone?,Anxious - Are you always blaming and accusing yourself for when something goes wrong?,"Anxious - In previous conversations, have you considered other viewpoints presented?",Anxious - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Happy - Patient response 1,Happy - Patient response 2,Happy - Patient response 3,Happy - That's Good! Let me recommend a protocol you can attempt.,All emotions - From what you have said I believe you are feeling {}. Is this correct?,All emotions - I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,All emotions - Thank you for taking part. See you soon,"All emotions - Here are my recommendations, please select the protocol that you would like to attempt","All emotions - Please try to go through this protocol now. When you finish, press 'continue'",All emotions - Do you feel better or worse after having taken this protocol?,All emotions - Would you like to attempt another protocol? (Patient feels better),All emotions - Would you like to attempt another protocol? (Patient feels worse)
Male,50-59,"Awful, I lost someone close to me yesterday.","Really down, I just can't seem to get started on anything.","Kind of blue, really. I can't seem to enjoy anything.",Is there anything in particular which has made you feel that way?,I'm sorry to hear about that. Did this happen recently or a while ago?,Is this a feeling that came about a result of you doing protocol 6?,Is this a feeling that came about a result of you doing protocol 11?,"I am sorry that you are hurting, please bear with me while I try to investigate this further. I'd like to ask you some more questions, so that I can understand the situation a bit better.","Did you have any of these strong feelings towards someone, whether you have told them about it or not:",,,,,,,Terrible - I feel like I need to hurt someone.,Like a volcano that's about to erupt.,"I'm mad as hell, and I can't take much more of this.","It's OK, I'm here to help. Is there something in particular which made you feel this way?","Did this happen recently, or are you remembering something from the more distant past?",Were these negative feelings caused by you attempting protocol 6 by any chance?,Were these negative feelings caused by you attempting protocol 11 by any chance?,"Thank you for sharing that, it's really helpful. I'd like to ask some more questions about this if that's OK with you.",Have you had any of the following strong feelings and/or have you expressed them towards someone:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18-24,I'm not feeling too good. My boyfriend broke up with me yesterday.,I'm not feeling very well. My grandmother passed away last week.,I'm not feeling so great. I lost my favorite toy and I can't find it,I'm sorry about that. Was this caused by a specific event/s?,I'm sorry to hear that. May I also ask if it was caused by a recent or distant event (or events)?,I'm very sorry that you are going through this. Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,I'm very sorry that you are going through this. Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of recent events?,"Thanks for sharing this with me, I would like to help you in some way. Now I will ask some questions to understand your situation.",I'm in tune with your emotion and we will understand to overcome it. Have you strongly felt or expressed any of the following emotions towards someone:,,,,,,,"I'm not fine, my team was disqualified and I lost $100 on the bet with my friend and I'm really mad. It's the team's fault that I feel this way.","I'm bad! I got fired from my job, I'm really angry. I did everything right in my job, it's their fault I feel that way.","I'm not fine, I had a fight with my parents and I left the house, I'm very angry. It's their fault I feel like this.",It's okay to feel that way. May I ask if this was caused by a specific event/s?,It's okay to go through this. Was this caused by a recent or distant event (or events)?,I understand and I'm sorry that this happened. Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,I understand and I'm sorry that this happened. Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,I will now ask you a few questions to understand your situation.,"We sometimes feel emotions that we think are bad, but the fact that we know they are bad makes us aware, so it's okay to feel those emotions, we all feel them someday. Have you strongly felt or expressed any of the following emotions towards someone:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,30-39,Really sad. I can't bring myself to do anything,"I feel awful, nothing seems to have any meaning since my dad died.",I just don't see the point in getting out of bed. Nothing feels good.,I'm sorry you feel that way. Was this caused by something specific?,"Was this recently, or did it happen some time ago?","The exercises in protocol 6 can be difficult for some, so I would like to know if they would be the right choice for you. Did you attempt the exercises in protocol 6 and find them difficult or traumatic?","The exercises in protocol 11 can be difficult for some, so I would like to know if they would be the right choice for you. Did you attempt the exercises in protocol 11 and find them difficult or traumatic?",Thank you for telling me that. Would you mind if I asked you some questions about these feelings?,"I would like to know if you have felt strongly, or expressed, any of the following emotions:",,,,,,,"I'm feeling crap, I just got some really irritating news","Pretty shit today, everything is going wrong.","Obviously I'm not good, I really hurt myself earlier",Did something in particular happen that caused this?,Was this a recent event or a distant one that happened some time ago?,"May I ask, have you tried the exercise in protocol 6 and was this difficult or painful?","May I ask, have you tried the exercise in protocol 11 and was this difficult or painful?","Thank you. I'd like to better understand your situation and need to ask some questions, is that ok?",Do you think that you may have expressed or felt any of the following emotions strongly:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,40-49,I feel empty and hopeless. This pandemic has really taken a toll on me.,I've had a fight with my partner and I feel really sad. I feel that it was my fault.,I am not coping. I just feel like I could cry all the time.,Do you feel that your current emotion may have been caused by a specific event or events?,Thank you so much for letting me know. Would you say that it was a recent or distant event (or events) that caused this emotion?,"Thank you for sharing this with me, I understand it can be difficult. I would like to ask you if you have recently attempted protocol 6 and, if so, if you have felt more distressed as a result of it.","Thank you for sharing this with me, I understand it can be difficult. I would like to ask you if you have recently attempted protocol 11 and, if so, if you have felt more distressed as a result of it.","Thank you for sharing your feelings with me, I appreciate your trust. If you do not mind I will now ask you a few questions to better understand the situation.","Thank you, I want you to know that even negative emotions can help us grow if we are able to understand them and learn from them. Have you recently experienced any of the following emotions toward anyone you know:",,,,,,,I am mad at my boss for embarassing me in front of my coworkers.,I just feel angry all the time. I think I deserve better than this to be honest.,I have lost a significant amount of money and I am mad at myself. I feel like punching myself.,Would you say that this feeling you are experiencing right now was caused by a specific event or events?,"Thank you for your answer, I can relate. And would you say that this event or events that caused you to feel angry happened in the recent or distant past?","Thank you for helping me to understand better. I would like to know if you have recently attempted protocol 6 and, if so, did you find that it did more harm than good?","Thank you for helping me to understand better. I would also like to know if you have recently attempted protocol 11 and, if so, did you find that it did more harm than good?","Thank you for sharing, that is a completely normal and valid emotion that you are experiencing. Now, I would like to ask you some more questions to understand the situation better, if you do not mind.","At times we may feel emotions that we are not proud of, but it is still important to recognise them, accept them and understand them. May I ask you whether you have felt any of the following emotions toward another person:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,30-39,"Please leave me alone, I am miserable.",Just miserable today.,I can't seem to get out of this low mood.,"Thank you for sharing your emotions with me, I understand it may be hard to deal with them right now. So that I can help you better, could you tell me if a specific event caused you to feel this way?","I understand, thank you. And was this event recent or more distant? Either way, I hope it wasn't too traumatic for you.",May I ask if you have already gone through protocol 6 and found that it brought back difficult emotions?,May I ask if you have already gone through protocol 11 and found that it brought back difficult emotions?,"Thank you for sharing, I am sorry you are going through this. I would just like to ask some more questions in order to better understand what you are feeling right now.","Thank you for trusting me, I would now like to know what sort of emotions you have been dealing with lately. Could you tell me if you have felt any of the following emotions:",,,,,,,I can't take it anymore.,I am incredibly frustrated.,I hate everyone today.,"Thank you for sharing your feelings with me, even though it may be difficult for you right now. Do you think your feelings may have been caused by something specific?","I see, thanks. And was this event, or events, distant or recent?","I would like to understand if protocol 6 is the right one for you, given that it can be quite intense. May I ask if you have attempted protocol 6 recently, and found this brought back negative emotions from the past?","I would like to understand if protocol 11 is the right one for you, given that it can be quite intense. May I ask if you have attempted protocol 11 recently, and found this brought back negative emotions from the past?",I am sorry you have to deal with this right now. Please let me ask you some questions so that I can determine what is the best course of action to make you feel better.,"There are moments in life where we may experience emotions that we are not proud of, but that is ok, as long as we are ready to learn from them. Would you say that you have felt any of the following emotions recently:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,40-49,So sad today because of lockdown,I'm not fleeling so great.,i'm not feeling great today,"May I ask, did anything specific cause that?","Was that event recent, or was it more distant in your past?","Have you tried thinking back over that event by attempting protocol 6, and if so how was that, did it bring back difficult emotions?","Have you tried thinking back over that event by attempting protocol 11, and if so how was that, did it bring back difficult emotions?",Thank you. I'd like to ask you some more questions which might help me understand.,"We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Could you tell me whether you have felt or expressed any of the following emotions:",,,,,,,I'm angry with my spouse,I'm feeling very bad,I am not ok today,Would you say that something specific caused you to feel this way?,Did that happen quite recently or a while back?,"Have you already tried thinking over that again by doing protocol 6, and if so how was that, did it reignite uncomfortable emotions?","Have you already tried thinking over that again by doing protocol 11, and if so how was that, did it reignite uncomfortable emotions?",Thank you. I'd like to ask you some questions which might help me make sense of it.,May I ask if you have felt or expressed any of the following emotions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,40-49,I'm fed up. I don't think I can manage all my bills this month and I'm working non stop.,Been a bit down in the dumps since I lost my job last year,"Not good, I've been really low since X left.",Could this have to do with a specific event?,I understand. Was this to do with something that happened recently or a more distant event?,Were you recently attempting to move forward with protocol 6 and did the trauma you revisited become too difficult to deal with?,Were you recently attempting to move forward with protocol 11 and did the trauma you revisited become too difficult to deal with?,"Thank you, I appreciate you sharing with me, I know this can be difficult. I'd like to ask a few more questions to get to know your situation better.",Do you think any of the following emotions aptly describe how you've felt or expressed recently:,,,,,,,Furious. Everyone is bugging me non stop at work.,I'm really annoyed! Today has been one thing after another.,"I'm annoyed. Evey time I think I'm on top of things, something else comes along.","Oh, that's not good. Was there something that triggered this feeling?",Sorry to hear that. Was it a recent or a more distant event that caused this?,"When attempting to revisit your trauma, as is requested in protocol 6, did you find you were emotionally uncomfortable and have difficulty proceeding?","When attempting to revisit your trauma, as is requested in protocol 11, did you find you were emotionally uncomfortable and have difficulty proceeding?",Thank you for sharing that. I'd like to ask you a few questions now to let me understand you a bit better.,Please try to look candidly at your emotional state now. Do you think that you may have strongly felt any of the following emotions recently:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,40-49,"I feel super down today, nothing seems to make sense anymore","Quite frankly, I don't see any point in life anymore","I feel terribly lonely, I don't have any friends, or a boyfriend","Thank you for letting me know, I am terribly sorry you are feeling that way. May I ask if something specific caused this feeling?","I understand, thank you. Would you say this event happened quite recently, or are you remembering something from the more distant past?","Thank you for that, perhaps protocol 6 could help you deal with this event, however before I can recommend it i'd like to make sure that you haven't had a bad experience with it in the past. Have you already attempted protocol 6 and if so, did it stir up difficult or traumatic emotions?","Thank you for that, perhaps protocol 11 could help you deal with this event, however before I can recommend it i'd like to make sure that you haven't had a bad experience with it in the past. Have you already attempted protocol 11 and if so, did it stir up difficult or traumatic emotions?","Thank you for opening up to me, I understand it can be difficult and I appreciate your honesty. I would like to ask you a few more questions so that I can help you better, if it is ok with you.","I'd like to ask you about negative emotions that you may have felt; it is completely normal to feel them sometimes, but it's important that we learn to recognise them before they take over our lives. Thinking of your recent past, is it possible that you have felt, at times, any of the following emotions toward someone:",,,,,,,I am so pissed off at my boyfriend for not telling me the truth.,I am mad because my cats have ruined my favourite rug,I am incredibly frustrated with my work lately.,"Thank you, I understand how hard it must be to be dealing with this feeling right now, and hope I can help you feel better. Could you please tell me if a specific event has caused you to feel this way?","I understand, thank you for letting me know. May I ask, was this event that caused your anger distant or recent?","Thank you for that; I think that protocol 6 could help you deal with this event, however some people have reported that this protocol can be rather intense. Have you already tried protocol 6, and if so did it stir up difficult or traumatic emotions?","Thank you for that; I think that protocol 11 could help you deal with this event, however some people have reported that this protocol can be rather intense. Have you already tried protocol 11, and if so did it stir up difficult or traumatic emotions?","Thank you for answering so patiently, I understand it can be difficult. I would like to ask some more questions so that I can suggest the best course of action, if that's ok.","Thank you, the next question is about negative feelings that can affect our life and relationships, and as such it is important that we learn to recognise them. Thinking about your recent past, is it possible that you have at times felt any of the following emotions toward someone:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,30-39,I'm really sad and depressed.,Horrible. I'm just so sad.,I wish I could be happy.,,,,,,,Do you feel that you need to always be there for someone?,Would you say that you tend to blame others for anything that goes wrong?,Would you say that you're the type of person that always needs to be in control?,"I wonder if you always feel like you caused a problem, even when it is not really your fault?",Do you see yourself as someone who is happy to listen to others' point of view?,"Do you think you may be undergoing a personal crisis, where you're no longer in touch with your support network?",I'm super pissed.,I am really mad.,I am angry and I don't know how to change it.,,,,,,,Would you say that you tend to rescue people?,"Generally speaking, do you feel that others are to blame for your problems?","Being totally honest with yourself, would you say that you always feel the need to be in control?",I would like to know if you are always feeling responsible when something bad happens.,"In all honesty, do you think that you are always available to consider alternatives to your point of view?",Has anything happened recently that has made you feel alienated from your support network of friends and family?,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,40-49,Not that great. I found out that my grandmother doesn't have long to live.,I'm not doing that great today. They are taking off my favorite childhood television show., Feeling kind of blah today as I got some bad news about some financial issues.,,,,,,,Do you feel that it is your responsibility to be someone's saviour?,"I see, thank you. Do you ever see yourself as the victim for the negative feelings you have?",Negative feelings can cause us to want to control someone else. Do you feel as if you are trying to control or dominate others?,Are you always taking the blame when things go wrong or accuse yourself for things that happen?,"Have you, in all honesty, tried to put yourself in others' shoes or taken the situation in a different light?",Are there any major issues going on in your personal life that could be contributing to your sadness?,I am livid at what is going on with my roommate,I am so angry with my coworkers,I am just mad at life because nothing ever seems to go right for me.,,,,,,,Do you feel it is your responsibility to save others or take on their issues?,Do you feel like others are to blame for the negative feelings you have?,"Thank you. As a result of your current emotion, are you feeling the need to control others?","When looking at your situation, are you always blaming and accusing yourself for what is going on?",Have you taken what is going on in your life and looked at it from different perspectives?,"Is there anything going on in your personal life that could be upsetting, have you fallen out with anyone close to you?",,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,25-29,I am feeling very nauseous today,I feel like I want to throw up,I am very upset right now,,,,,,,Do you feel you have to save someone else?,Have you felt that you have been victimized by someone else perhaps?,Do you feel that you are trying to overpower someone?,Are you always trying blame yourself for negative situations and events?,,Are you having difficulties with life events right now?,I'm very upset,I am angry,I am annoyed,,,,,,,"Could it be, perhaps, that you trying to rescue someone?",Do you feel like others are responsible for your negative feelings?,"If I may ask, do you feel that you want to control someone in your life right now?",Are you always trying to be critical of yourself?,Do you think there may be other viewpoints that could be taken into account in your current situation?,Are you experiencing intense negative feelings as a result of fighting with the people in your life?,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,30-39,"Not good, my dog died.","Not good, I got in a fight with my mom.","Pretty bad, my girlfriend dumped me.",,,,,,,Do you believe you should be saving someone?,Would you say you're the victim in this situation? Do you blame others for feeling this way?,"Do you feel like you're trying to control anyone, or make them do something you want them to?",Do you feel like blame and accusation always fall on yourself if something goes wrong?,"Have you ever reflected on other viewpoints, when these have been presented to you?",Are you facing any difficulties with loved ones perhaps?,I'm so angry for something that happened today.,I am annoyed by the way my partner behaves.,"Horrible, my deadbeat dad beat me as usual",,,,,,,"I'm terribly sorry you are dealing with difficult emotions. Do you feel, perhaps, that you should be saving someone else in your life?","Do you see yourself as the victim, or do you blame someone else for your feelings?","Could it be that you're trying to control someone, perhaps?",Would you say that you always blame and accuse yourself whenever something goes wrong?,"I am sorry you are experiencing this negativity right now. If I may ask, and please be honest, would you say that you have always given full consideration to other people's viewpoints when these were presented to you?","Sorry to hear about your troubles, I am always here to help. Are you experiencing difficulties with any of your loved ones right now?",,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,50-59,I am not so great today.,Feeling a little blue.,I am a little upset and depressed this afternoon.,,,,,,,Do you feel that you should be helping someone else in this situation?,"I would like to know how you feel about your role in this. Do you feel like a victim in your current situation, looking to put your negative feelings on someone else?",Do you feel you have the ability to affect someone else in your life?,Do you always apologise when something goes wrong and feel it is your fault?,"You may have talked about and been presented with various viewpoints to consider. Have you really thought about other perspectives and viewpoints, when these were presented to you?",Have you had any recent major issues with friends or family that have caused these negative feelings?,I am pretty pissed off to be honest.,"I' m not great - in fact, I am very angry right now.",I am not happy and a little upset at the moment.,,,,,,,"Thinking of recent and not-so-recent events, do you get the impression that you would like to save someone else?","May I ask if you feel like a victim right now, and blame your feelings on others?","Do you like to imagine yourself taking power and controlling others, sometimes?",Do you have a tendency to always blame and accuse yourself when something is not right or goes wrong?,You may have had other conversations in the past where you talked about other views and perspectives. Have you ever taken any advice or new perspective that was offered to you into practice in your own life?,"Have you had a personal issue with friends or loved ones lately, a falling out, perhaps, or have you had family issues?",,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,30-39,I cried before,I need to get support,Sad,,,,,,,Do you feel that you have to help someone?,Do you feel that you are being victimised in any way?,"Do you have the feeling that you are controlling someone else, or at least trying to?",Do you always criticise yourself if anything goes wrong?,Would you say that you have always considered carefully other people's viewpoints and arguments that may have been presented to you in previous discussions?,"If I may ask, do you have any trouble in your personal matters?",That is not your business,Do you have any use to know about this,You don't have the right to ask this question,,,,,,,Do you always feel that you need to save the people in your life?,"If you don't mind me asking, I'd like to know if you blame others for these negative feelings that you are experiencing.",Do you think you may be displaying controlling behaviour toward someone else?,Have you noticed that you always blame or accuse yourself for any negative situations lately?,"I would like to know, if possible, if you feel that you have always given full and careful consideration to different points of view that were presented to you in the past.","Could it be that you are experiencing a personal crisis right now, as a result of distressing events such as relationship problems with friends or loved ones?",,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,30-39,I feel sad,I wish I could change,I feel lazy,,,,,,,Could it be that you feel you need to be the saviour of someone else?,Do you feel like someone else is to blame for the negativity you feel?,"Could it be, perhaps, that you are displaying some kind of controlling behaviour?",Do you always blame yourself when something goes wrong?,"Thinking about more or less recent situations, have you ever put yourself in someone else's shoes during a conversation?",Is there something personal you are currently going through?,I feel really upset about how I have been treated.,Today is really taking a toll on me and i'm exhausted.,I am so angry I could scream.,,,,,,,"Are you trying to be someone else's saviour, perhaps?",Is someone else at fault for making you feel like a victim?,Do you reckon you may be acting in a controlling way?,Do you always feel that you are to blame when things go wrong?,"Have you attempted to look at things from someone else's perspective, and did it help?","Are you working through something painful, such as a falling out with someone who was dear to you?",,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,40-49,I have had a few crying spells today.,The weather is bad and it has me down in the dumps.,I feel kind of alone and sad today.,,,,,,,Are you feeling that you must be someone else's saviour?,Would you say that someone else is causing your negative emotions?,Deep down do you have the feeling that you are attempting to control another person?,"When things go wrong for you, do you always put the blame on yourself? Do you always accuse yourself of a mistake?",Have you been able to consider other people's perspectives in your previous conversations?,"Do you feel like you are having a personal crisis, for example, a difficult time with family or friends or other loved ones?",I'm just in a pissed off mood.,I'm mad about my job. I feel stuck in it and it frustrates me.,My best friend has been acting like a jerk and I am angry at her.,,,,,,,Are you feeling the need to be the savior of someone else in your life?,"Are you having feelings of victimization, and feel like someone else around you is causing you to feel this way?",Is there someone around you or in your life that you are trying to control?,"Do you feel like it's always your fault? When something does not work out, do you harshly blame and accuse yourself?",Would you say that you were able to really consider other viewpoints when they arose in previous conversations?,Do you feel like you are going through a personal crisis due to issues in the relationship with someone close to you?,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,30-39,"I'm fine, I guess.",I'm not feeling so well.,I am feeling sad today.,,,,,,,Do you think it is your responsibility to save someone else?,Do you feel that someone else is to blame for your sadness?,Do you find yourself trying to control how someone else behaves?,"When something goes wrong, do you always give yourself the blame?","In past conversations, have you really made an effort to understand others' perspectives?","Are you in the middle of some trauma of a personal nature, like difficulties with family members or friends?",I am mad.,I'm furious.,I feel resentful and spiteful.,,,,,,,"Do you feel responsible for saving another person, a loved one perhaps?","Please tell me, do you feel that it is someone else's fault that you are feeling this way?",Do you feel like you want or need to control the behaviour of someone else in your life?,"When things go wrong, do you always think that you are to blame?",Do you ever try to consider how someone else might think or feel in your situation?,Has this feeling created a larger problem for you and your loved ones? Has it led to a personal crisis?,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,40-49,I heard my grandpa has COVID and is in hospital.,My best friend moved across the country this week.,My car needs serious repairs and I'm broke.,,,,,,,Do you find it difficult to be in a position where you cannot help someone else?,Do you feel as though your emotions are the cause of actions from others?,"Would you want to control the situation, or another person?","If I may ask this, do you always see yourself at fault for anything that happens?",Did you give thought to how others may see the situation?,"May I ask you are having troubles at home, at work or with friends?",My manager scolded me so i am angry,My parents fought with me so i am angry,My patner disappointed me so i am angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,25-29,"I am not feeling well, me and my girlfriend broke up today.",I am really sad because me and my brother got into a fight.,I am hurt right now because my best friend lied to me.,,,,,,,"Do you think that you always have to save people from trouble, even if they're creating it themselves?","Do you think, perhaps, that you're not taking full responsibility for the way you're feeling, and that's causing you to lash out at others?",Is it possible that you're just trying to control all of the thoughts and actions of another person?,"Are you always taking responsibility for anything negative that happens in your life, even when you're not responsible?",Would you say that you have ever been able to really step outside of yourself and think of a situation from a different point of view?,Is there anything going on in your personal life that is causing you to feel this way?,I am furious right now because I failed my test,I am mad because I broke a plate and the pieces went all over the floor.,I am pissed off because my best friend did not show up at my birthday party.,,,,,,,"Looking at yourself with objectivity, do you feel that you always need to be the hero of your own story, and bail everyone out of negative situations?","Could it be, perhaps, that you are avoiding responsibility for your actions and just blaming someone else for your feelings right now?",Do you think it's possible that you're just trying to control every move another person makes?,Do you think you are always taking the blame for things that aren't your fault?,"Do you consider yourself to be someone who listens to other points of view, when it comes to your conversations?",Do you feel that your personal life is unstable right now? Are your relationships with family or friends on the rocks?,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,30-39,I feel like everything is hopeless.,I'm certainly not at my best.,Today's not a good day.,,,,,,,Do you feel a weight on your shoulders to save others?,"If I may ask, do you blame others for how you're feeling today?",Are you frustrated right now with trying to control someone or something that you can't?,Would you say that you're often too hard on yourself?,May I ask if you feel able to consider other people's points of view?,"I hope you don't mind me asking, but are you facing a difficult time?",I'm pissed.,I feel ready to fight.,I'm mad at everything right now.,,,,,,,"If I may ask you this, do you feel it's your job to save others?",Thank you for letting me know that. Do you feel like others caused you to feel this way?,Are you trying to control someone that's uncooperative?,Are you always angry at yourself when something bad happens?,Would you say that you generally listen to others' input?,"If I may ask, are you struggling with personal issues right now?",,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,30-39,Not good. My dog had to be put to sleep today.,"My mother just died, and I can't stop crying.",I don't think anyone loves me.,,,,,,,Do you feel like you have let someone down?,Do you feel that someone else is trying to hurt you?,Do you ever worry that you might be taking your negative feelings out on someone else?,"It's normal to blame ourselves for our problems on occasion, but we should be careful not to make this into a destructive habit. Do you notice that you're always blaming yourself for anything that goes wrong?",Do you ever imagine what it would be like to have a viewpoint other than your own?,Are you experiencing major difficulties or challenges in your relationships with others right now?,"Some idiot just almost caused a car accident, and I'm pissed about it.",I'm upset about something my best friend said to me.,"I'm really angry right now. I just got passed up for a promotion at work, and it's because one of my colleagues took credit for my idea.",,,,,,,"Sometimes when we're angry, it's because we want to help people, but we feel we can't or they won't let us. Do you feel that there is someone in your life who you're trying to save or rescue?",Do you feel like someone is or was trying to hurt you?,"Are you worried that you might take out these feelings of anger on someone, trying to control them perhaps?","It's normal to blame ourselves when something happens that hurts us, but if we always do this, it can build up into very angry feelings. Do you think that you tend to always blame yourself for every mistake?","When something happens that makes you angry, do you ever try to step into the other person's shoes?","I'm sorry that you are angry, and I wonder if this may be a symptom of something bigger. Have other major difficulties been happening in your life recently?",,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,25-29,Really kind of heavy today.,"Not so great, down, bummed out.",Kind of feeling a dark cloud over me today.,,,,,,,Are you feeling or thinking anything that is giving you the urge to save someone else?,Would you say that the reason you're feeling these emotions is completely because of someone else?,Are you having any thoughts that you could be controlling someone else or trying to control them?,Would you say you feel like the blame always belongs with you when something goes wrong?,"Do you ever think about others' points of view, and have you taken the time to explore them?",I would like to know if there is anything happening right now that feels bigger than normal. Do you feel like you are facing a personal crisis?,"I feel terrible, angry, hateful.","I feel furious, like I can't even think straight.","I feel pissed off, like life is unfair and I am helpless with it.",,,,,,,"With that feeling, are you having any thoughts that you should be saving another person?","Okay, and what about your feelings toward those around you. Would you say that you are someone who is in trouble in this situation, and it's someone else's fault completely?","Okay, and then what about how you want to behave. Are there any urges right now to try and control someone in your life?",How about responsibility for what is happening in your life. Do you feel you are always the one to blame for things that go wrong?,"Thinking back to previous conversation you've had recently, do you remember what other people's thoughts were, and have you thought about them further?","Does it feel like right now anything really big is happening, like a personal crisis?",,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,30-39,I am not feeling good today.,I feel sad. My heart is broken.,It's not a good time for me.,,,,,,,Do you think that you need to be the saviour of anyone else?,"Do you feel you are the victim in this situation, blaming anyone else for how you feel?","In all honesty, do you think that controlling someone is okay, or would you ever do it?","Do you always and continuously blame and accuse yourself when something goes wrong, even if deep down you can recognise that it wasn't your own fault?","In previous conversations you have had, do you feel you have always been able to consider different viewpoints?",Thank you. Would you say that you are facing a hard time in your personal life?,I am not okay. I don't know why all this is happening to me.,Like I need to chill,Angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,25-29,"I'm down, feeling there's no future for me","i am distressed, i have been sick for many years and i cannot find a cure","I'm depressed, I've never been able to get a girlfriend",,,,,,,Do you believe saving someone's life would make you feel better about yourself?,Is anyone to blame for the ailments you've been feeling?,"Deep down, would you say that you feel good when you can control or manipulate someone else into doing what you want?",May I ask if you always blame yourself for everything that goes wrong in your life?,"Have you thought about other people's viewpoints that may have been presented to you in previous conversations, in order to solve or alleviate your problems?","Have you been facing personal problems with certain people, for example colleagues, friends or family members? Can't you meet your own expectations or those of others?","I'm really pissed, they made fun of me at school but I couldn't do anything about it","I'm very angry, people in my work group exclude me for nothing","I'm so hateful, the person I trusted the most betrayed me in a way I couldn't even imagine",,,,,,,Do you believe that helping or saving someone would make you calmer?,"If I may ask, do you think it is someone else's fault for you feeling this anger?","Do you think you may need to control someone, make them do or say what you want, in order to be less angry?",Do you always feel guilty or angry at yourself for the negative things that happen to you?,Have you thought about the various viewpoints and perspectives that could change your view of your current situation?,"Are you been having major personal problems with some people, family or friends?",,,,,,,,,,,,,,,,,,,,,,,,,,,
