性别,年龄,悲伤 - 患者反应 1,悲伤 - 患者反应 2,悲伤 - 患者反应 3,悲伤 - 这是由特定事件引起的吗？,悲伤 - 这是由最近或遥远的事件（或事件）引起的吗？,悲伤 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 您最近是否尝试过协议 11 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 谢谢。现在我会问一些问题以了解您的情况。,悲伤 - 您是否对某人有强烈的感受或表达以下任何情绪：,悲伤 - 你认为你应该成为别人的救世主吗？,悲伤 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,悲伤 - 你觉得你在试图控制某人吗？,悲伤 - 当出现问题时，您是否总是责怪和指责自己？,悲伤 - 在之前的对话中，您是否考虑过其他提出的观点？,悲伤 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,愤怒 - 患者反应 1,愤怒 - 患者反应 2,愤怒 - 患者反应 3,愤怒 - 这是由特定事件引起的吗？,愤怒 - 这是由最近或遥远的事件（或多个事件）引起的吗？,愤怒 - 您最近是否尝试过协议 6，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 谢谢。现在我会问一些问题以了解您的情况。,愤怒 - 您是否对某人有强烈的感受或表达以下任何情绪：,愤怒 - 你认为你应该成为别人的救星吗？,愤怒 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,愤怒 - 你觉得你在试图控制某人吗？,愤怒 - 当出现问题时，您是否总是责怪和指责自己？,愤怒 - 在之前的对话中，您是否考虑过其他提出的观点？,愤怒 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,焦虑 - 患者反应 1,焦虑 - 患者反应 2,焦虑 - 患者反应 3,焦虑 - 这是由特定事件引起的吗？,焦虑 - 这是由最近或遥远的事件（或多个事件）引起的吗？,焦虑 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,焦虑 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,着急 - 谢谢。现在我会问一些问题以了解您的情况。,焦虑 - 您是否对某人强烈感受到或表达了以下任何情绪：,焦虑 - 你认为你应该成为别人的救星吗？,焦虑 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,焦虑 - 你是否觉得你在试图控制某人？,焦虑 - 当出现问题时，您是否总是责怪和指责自己？,焦虑 - 在之前的对话中，您是否考虑过其他提出的观点？,焦虑 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,快乐 - 患者反应 1,快乐 - 患者反应 2,快乐 - 患者反应 3,快乐 - 那很好！让我推荐一个您可以尝试的协议。,所有情绪 - 根据您所说的，我相信您正在感受{}。这个对吗？,所有情绪 - 我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,所有情绪 - 感谢您的参与。再见,所有情绪 - 这是我的建议，请选择您想尝试的协议,所有情绪 - 请现在尝试通过此协议。完成后，按“继续”,所有情绪 - 采取此协议后，您感觉更好还是更糟？,所有情绪 - 您想尝试另一种协议吗？ （病人感觉好多了）,所有情绪 - 您想尝试另一种协议吗？ （病人感觉更糟）
女性,40-49,我今天感觉超级沮丧，似乎没有任何意义了,坦率地说，我看不到生活中的任何意义了,我感到非常孤独，我没有朋友，也没有男朋友,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,我明白了，谢谢。您是说这件事发生在最近，还是您还记得更遥远的过去？,谢谢你，也许协议 6 可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过糟糕的经历。你是否已经尝试过协议 6，如果是，它是否激起了困难或创伤性的情绪？,谢谢你，也许协议 11 可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过糟糕的经历。你是否已经尝试过协议 11，如果是，它是否激起了困难或创伤性的情绪？,感谢您对我敞开心扉，我理解这可能很困难，我感谢您的诚实。我想再问你几个问题，以便我可以更好地帮助你，如果你没问题的话。,我想问你关于你可能感受到的负面情绪；有时感觉到它们是完全正常的，但重要的是我们在它们接管我们的生活之前学会识别它们。回想一下您最近的过去，您是否有时对某人有以下任何情绪：,,,,,,,我很生气我男朋友没有告诉我真相。,我很生气，因为我的猫毁了我最喜欢的地毯,我最近对我的工作感到非常沮丧。,谢谢你，我明白现在处理这种感觉有多难，希望我能帮助你感觉更好。你能告诉我是否有特定的事件让你有这种感觉吗？,我明白了，谢谢你告诉我。请问，这件事引起你的愤怒是遥远的还是最近的？,谢谢你；我认为协议 6 可以帮助你处理这个事件，但是有些人报告说这个协议可能相当激烈。你是否已经尝试过协议 6，如果是这样，它是否激起了困难或创伤性的情绪？,谢谢你；我认为协议 11 可以帮助你处理这个事件，但是有些人报告说这个协议可能相当激烈。你是否已经尝试过协议 11，如果是这样，它是否激起了困难或创伤性的情绪？,谢谢你这么耐心的回答，我知道这可能很困难。如果可以的话，我想再问一些问题，以便我可以建议最佳的行动方案。,谢谢，下一个问题是关于可能影响我们生活和人际关系的负面情绪，因此我们学会识别它们很重要。想想您最近的过去，您是否有时会对某人产生以下任何情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我真的很伤心很沮丧。,可怕。我只是很难过。,我希望我能快乐。,,,,,,,你觉得你需要一直陪在某个人身边吗？,你会说你倾向于将任何错误归咎于他人吗？,你会说你是那种总是需要掌控的人吗？,我想知道你是否总是觉得是你造成了问题，即使这不是你的错？,你认为自己是一个乐于倾听他人观点的人吗？,您是否认为您可能正在经历个人危机，不再与您的支持网络保持联系？,我超级生气,我真的很生气。,我很生气，我不知道如何改变它。,,,,,,,你会说你倾向于救人吗？,一般来说，你觉得别人应该为你的问题负责吗？,对自己完全诚实，你会说你总是觉得需要控制吗？,我想知道当发生不好的事情时，您是否总是感到有责任感。,老实说，你认为你总是可以考虑替代你的观点吗？,最近有没有发生什么事情让你觉得与你的朋友和家人的支持网络疏远了？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,没那么好。我发现我的祖母活不长了。,我今天做的没那么好。他们正在推出我最喜欢的童年电视节目。, 今天感觉有点无聊，因为我收到了一些关于一些财务问题的坏消息。,,,,,,,你觉得成为别人的救星是你的责任吗？,明白了，谢谢您是否曾将自己视为负面情绪的受害者？,负面情绪会导致我们想要控制别人。你是否觉得自己是在试图控制或支配他人？,当事情出错时，您是否总是承担责任或为发生的事情指责自己？,老实说，您是否尝试过设身处地为他人着想或换个角度看待情况？,您的个人生活中是否有任何重大问题可能导致您感到悲伤？,我对我室友发生的事情很生气,我对我的同事很生气,我只是对生活很生气，因为似乎没有什么事情适合我。,,,,,,,你觉得拯救他人或解决他们的问题是你的责任吗？,你是否觉得别人应该为你的负面情绪负责？,谢谢你。由于您目前的情绪，您是否觉得需要控制他人？,在审视自己的处境时，您是否总是为正在发生的事情责备自己？,你有没有从不同的角度看待生活中正在发生的事情？,在您的个人生活中是否有任何令人不安的事情，您是否与亲近的人闹翻了？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,我今天感觉很恶心,我觉得我想吐,我现在很沮丧,,,,,,,你觉得你必须拯救别人吗？,你有没有觉得自己可能被别人害了？,你是否觉得你在试图压制某人？,你是否总是试图为消极的情况和事件责备自己？,,你现在对生活事件有困难吗？,我很不高兴,我很生气,我很烦,,,,,,,难道，也许，你试图拯救某人？,你觉得别人对你的负面情绪负责吗？,如果我问，你觉得你现在想要控制你生活中的某个人吗？,你是否总是试图批评自己？,您认为在您目前的情况下可能还有其他观点可以考虑吗？,由于与生活中的人争吵，您是否正在经历强烈的负面情绪？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,不好，我的狗死了。,不好，我和妈妈吵架了。,很糟糕，我的女朋友甩了我。,,,,,,,你认为你应该救人吗？,你会说你是这种情况下的受害者吗？你会因为这种感觉而责怪别人吗？,你是否觉得你在试图控制任何人，或者让他们做你想让他们做的事情？,如果出现问题，您是否总是觉得责备和指责总是落在自己身上？,当这些观点被呈现给你时，你有没有反思过其他观点？,您是否在与亲人相处时遇到任何困难？,我为今天发生的事情而生气。,我对我伴侣的行为方式感到恼火。,太可怕了，我的坏爸爸像往常一样打我,,,,,,,我非常抱歉你正在处理困难的情绪。也许你觉得你应该在你的生活中拯救别人？,您将自己视为受害者，还是将自己的感受归咎于他人？,可能是你试图控制某人吗？,你会不会说每次出了问题你总是责备自己？,我很抱歉你现在正在经历这种消极情绪。如果我问，请说实话，您是否会说在向您提出这些观点时，您总是充分考虑其他人的观点？,很抱歉听到你的麻烦，我总是在这里提供帮助。您现在是否在与任何亲人相处时遇到困难？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,50-59,我今天没那么厉害。,有点蓝的感觉。,今天下午我有点沮丧和沮丧。,,,,,,,你觉得在这种情况下你应该帮助别人吗？,我想知道你对你在这个角色中的角色有什么看法。在目前的情况下，您是否觉得自己是一个受害者，想要将自己的负面情绪转移到其他人身上？,你觉得你有能力影响你生活中的其他人吗？,当事情出错时，你是否总是道歉并觉得是你的错？,您可能已经讨论过并被提出了各种需要考虑的观点。当这些被呈现给您时，您是否真的考虑过其他观点和观点？,您最近是否与朋友或家人发生过任何导致这些负面情绪的重大问题？,老实说，我很生气。,"我不是很好 - 事实上, 我现在很生气。",我现在不开心，有点不高兴。,,,,,,,想想最近和不那么近的事件，你有没有想拯救别人的印象？,请问您现在是否觉得自己是受害者，并将自己的感受归咎于他人？,有时，您是否喜欢想象自己掌权并控制他人？,当事情不对或出错时，您是否有总是责怪和指责自己的倾向？,您过去可能进行过其他对话，在这些对话中您谈到了其他观点和观点。您是否曾经在自己的生活中实践过提供给您的任何建议或新观点？,您最近是否与朋友或亲人发生了个人问题，也许是闹翻了，或者您有家庭问题吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我之前哭过,我需要得到支持,伤心,,,,,,,你觉得你必须帮助别人吗？,你有没有觉得自己受到了任何形式的伤害？,你有没有感觉你在控制别人，或者至少试图控制？,如果出了什么问题，你总是批评自己吗？,您是否会说，您在之前的讨论中可能会向您提出其他人的观点和论点，您是否一直在仔细考虑？,如果我问你，你在个人事务上有什么问题吗？,那不是你的事,你知道这有什么用吗,你无权问这个问题,,,,,,,你是不是总觉得需要拯救生命中的人？,如果你不介意我问，我想知道你是否因为你正在经历的这些负面情绪而责怪别人。,您认为您可能对其他人表现出控制性行为吗？,你有没有注意到你最近总是因为任何消极的情况而责备或指责自己？,如果可能的话，我想知道您是否觉得您一直对过去向您提出的不同观点给予充分和仔细的考虑。,是否因为与朋友或亲人的关系问题等令人痛苦的事件，您现在正在经历个人危机？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我很难过,我希望我能改变,我觉得很懒,,,,,,,是不是觉得自己需要成为别人的救星？,你是否觉得其他人应该为你的消极情绪负责？,也许，您正在表现出某种控制行为？,当事情出错时，你总是责备自己吗？,想想或多或少最近的情况，你有没有在谈话中把自己放在别人的位置上？,你目前正在经历什么个人的事情吗？,我对自己受到的对待感到非常沮丧。,今天真的对我造成了伤害，我已经筋疲力尽了。,我很生气，我可以尖叫。,,,,,,,也许你想成为别人的救星？,是别人让你觉得自己是受害者吗？,你认为你可能会以一种控制的方式行事吗？,当事情出错时，您是否总是觉得自己应该受到责备？,你有没有尝试从别人的角度看问题，它有帮助吗？,您是否正在经历一些痛苦的事情，例如与您所爱的人闹翻？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我今天有几次哭泣的咒语。,天气很糟糕，它让我陷入了垃圾场。,我今天感到有点孤独和悲伤。,,,,,,,你是否觉得你必须成为别人的救星？,你会说是别人造成了你的负面情绪吗？,在内心深处，你是否有一种想要控制另一个人的感觉？,当事情对你不利时，你总是把责任推给自己吗？你总是指责自己的错误吗？,在之前的谈话中，你是否能够考虑其他人的观点？,您是否觉得自己正面临个人危机，例如，与家人、朋友或其他亲人相处困难？,我只是在生气。,我对我的工作很生气。我感到被困在其中，这让我感到沮丧。,我最好的朋友一直表现得像个混蛋，我对她很生气。,,,,,,,您是否觉得有必要成为生活中其他人的救星？,您是否有受害的感觉，并感觉周围的其他人让您有这种感觉？,你身边或生活中是否有人试图控制？,你是否觉得总是你的错？当事情没有解决时，你会严厉地责备和指责自己吗？,您是否会说，当其他观点出现在之前的对话中时，您真的能够考虑这些观点吗？,由于与亲近的人的关系出现问题，您是否觉得自己正在经历个人危机？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我很好，我想。,我感觉不太好。,我今天很难过。,,,,,,,你认为拯救别人是你的责任吗？,你觉得别人应该为你的悲伤负责吗？,你发现自己试图控制别人的行为吗？,当事情出错时，你总是把责任归咎于自己吗？,在过去的谈话中，你真的努力去了解别人的观点吗？,您是否正处于个人性质的创伤之中，例如与家人或朋友相处的困难？,我生气了。,我很生气。,我感到愤恨和恶意。,,,,,,,你是否觉得有责任拯救另一个人，也许是一个所爱的人？,请告诉我，你觉得你有这种感觉是别人的错吗？,您是否觉得自己想要或需要控制生活中其他人的行为？,当事情出错时，你是否总是认为自己是罪魁祸首？,你有没有想过别人在你的情况下会怎么想或感受？,这种感觉是否给您和您所爱的人带来了更大的问题？它是否导致了个人危机？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,我听说我爷爷感染了新冠肺炎，正在住院。,我最好的朋友本周搬到了全国各地。,我的车需要大修，我破产了。,,,,,,,您是否觉得处于无法帮助他人的境地很困难？,你是否觉得自己的情绪是他人行为的原因？,你想控制局面，还是控制另一个人？,如果我可以问这个，您是否总是认为发生的任何事情都是自己的错？,你有没有想过其他人会如何看待这种情况？,请问你是在家里、工作上还是和朋友相处上有问题？,我的经理骂我所以我很生气,我父母和我吵架所以我很生气,我的朋友让我失望所以我很生气,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,我不舒服，我和我女朋友今天分手了。,我真的很难过，因为我和我哥哥吵架了。,我现在很受伤，因为我最好的朋友对我撒了谎。,,,,,,,您是否认为您总是必须将人们从麻烦中解救出来，即使他们是自己创造的？,你是否认为，也许，你没有对自己的感受承担全部责任，这导致你对他人进行猛烈抨击？,有没有可能你只是想控制另一个人的所有想法和行为？,你是否总是为生活中发生的任何负面事情负责，即使你不负责任？,你会说你曾经能够真正走出自己，从不同的角度思考一个情况吗？,在您的个人生活中是否有任何事情让您有这种感觉？,我现在很生气，因为我没有通过考试,我很生气，因为我打破了一个盘子，碎片散落在地板上。,我很生气，因为我最好的朋友没有出现在我的生日聚会上。,,,,,,,客观地看待自己，您是否觉得自己总是需要成为自己故事的主角，并帮助所有人摆脱负面情况？,也许，您现在正在逃避对自己的行为负责，而只是将自己的感受归咎于他人？,你认为你有可能只是想控制另一个人的一举一动吗？,你认为你总是为不是你的错的事情承担责任吗？,当谈到你的谈话时，你认为自己是一个倾听其他观点的人吗？,你觉得你现在的个人生活不稳定吗？您与家人或朋友的关系是否岌岌可危？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,感觉一切都没有希望了。,我当然不是处于最佳状态。,今天不是个好日子。,,,,,,,你是否觉得肩上有一份拯救他人的重担？,如果我问，你今天的感受是否会责怪别人？,您现在是否因试图控制您无法控制的某人或某事而感到沮丧？,你会说你经常对自己太苛刻吗？,请问你觉得可以考虑别人的观点吗？,我希望你不介意我问，但你是否面临困难时期？,我很生气。,我感觉准备好战斗了。,我现在对一切都很生气。,,,,,,,如果我问你这个，你觉得救人是你的工作吗？,谢谢你让我知道。你觉得其他人让你有这种感觉吗？,你想控制一个不合作的人吗？,当坏事发生时，你总是生自己的气吗？,你会说你一般都会听别人的意见吗？,如果我问，你现在是否在为个人问题而苦苦挣扎？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,不好。我的狗今天不得不睡觉。,我的母亲刚刚去世，我无法停止哭泣。,我想没有人爱我。,,,,,,,你觉得你让某人失望了吗？,你觉得别人在试图伤害你吗？,你有没有担心你可能会把你的负面情绪发泄到别人身上？,偶尔为我们的问题责备自己是正常的，但我们应该小心不要把它变成一种破坏性的习惯。你有没有注意到你总是为任何出错的事情责备自己？,你有没有想过拥有一个不同于你自己的观点会是什么感觉？,您现在是否在与他人的关系中遇到重大困难或挑战？,一个白痴差点造成车祸，我很生气。,我对我最好的朋友对我说的话感到不安。,我现在真的很生气。我刚刚因为工作中的晋升而被拒绝，这是因为我的一位同事认为我的想法值得称赞。,,,,,,,有时，当我们生气时，是因为我们想帮助别人，但我们觉得我们做不到，或者他们不让我们做。你是否觉得在你的生命中，有一个你想要拯救或拯救的人？,你觉得有人正在或试图伤害你吗？,您是否担心可能会将这些愤怒情绪发泄到某人身上，并试图控制它们？,当发生伤害我们的事情时责备自己是很正常的，但如果我们总是这样做，它可能会积聚成非常愤怒的情绪。你认为你总是为每一个错误都责备自己吗？,当发生让你生气的事情时，你有没有想过替别人着想？,很抱歉你生气了，我想知道这是否可能是更大事情的征兆。您最近生活中是否发生了其他重大困难？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,今天真的有点沉重。,不太好，失望，沮丧。,今天有点感觉乌云笼罩着我。,,,,,,,你有没有感觉到或想到任何让你有想要拯救别人的冲动的事情？,你会说你有这些情绪的原因完全是因为别人吗？,您是否有任何想法可以控制他人或试图控制他们？,你会说当出现问题时，你觉得责任总是在你身上吗？,你有没有想过别人的观点，你有没有花时间去探索他们？,我想知道现在是否有任何事情感觉比平常大。您是否觉得自己正面临个人危机？,我觉得很可怕，很生气，很可恨。,我感到很愤怒，好像我什至无法直视。,我感到很生气，就像生活是不公平的，我对此很无助。,,,,,,,带着这种感觉，你有没有想过救人？,好的，那么你对周围人的感觉呢？你会说你是在这种情况下遇到麻烦的人，完全是别人的错吗？,好的，然后你想如何表现。现在有没有想要尝试控制你生活中的某个人的冲动？,如何对你生活中发生的事情负责。你是否觉得自己总是要为出错的事情负责？,回想一下你最近的谈话，你还记得别人的想法吗，你有没有进一步考虑过？,是不是感觉现在有什么大事正在发生，比如个人危机？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我今天感觉不太好。,我很难过。我的心碎了。,这对我来说不是一个好时机。,,,,,,,你认为你需要成为别人的救星吗？,在这种情况下，您是否觉得自己是受害者，将自己的感受归咎于其他人？,老实说，您认为控制某人可以吗，或者您会这样做吗？,当事情出错时，你是否总是不断地责备和指责自己，即使在内心深处你能认识到这不是你自己的错？,在之前的谈话中，你是否觉得自己一直能够考虑不同的观点？,谢谢你。你会说你在个人生活中遇到困难吗？,我不好。我不知道为什么这一切都发生在我身上。,就像我需要冷静,生气的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,我很沮丧，感觉我没有未来,我很痛苦，我已经病了很多年，我找不到治疗方法,我很郁闷，一直找不到女朋友,,,,,,,你相信拯救别人的生命会让你对自己感觉更好吗？,有没有人应该为您所感受到的疾病负责？,在内心深处，当你可以控制或操纵别人做你想做的事时，你会感觉良好吗？,请问您是否总是为生活中的所有错误而责备自己？,为了解决或减轻你的问题，你是否考虑过在之前的谈话中可能向你提出的其他人的观点？,您是否与某些人（例如同事、朋友或家人）遇到过私人问题？你不能满足自己或他人的期望吗？,我真的很生气，他们在学校取笑我，但我对此无能为力,我很生气，我工作组的人无缘无故地排斥我,我太可恨了，我最信任的人以我无法想象的方式背叛了我,,,,,,,你相信帮助或拯救某人会让你更平静吗？,如果我问，你认为你感到这种愤怒是别人的错吗？,你认为你可能需要控制某人，让他们做或说你想要的，以减少愤怒吗？,你是否总是因为发生在你身上的负面事情而对自己感到内疚或生气？,您是否考虑过可以改变您对当前状况的看法的各种观点和观点？,您是否与某些人、家人或朋友有重大的个人问题？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我很沮丧。,我完全感觉很糟糕,我度过了最糟糕的一天,,,,,,,我想更好地理解为什么你现在正在经历这种消极的感觉。你觉得你需要拯救别人吗？,你会因为你目前的情绪而责怪别人吗？,难道你现在正试图接管别人？,你是否总觉得自己是一切出错的原因？,你会说你是那种在谈话中很乐意考虑别人意见的人吗？,您是否担心您与亲近的人之间的任何个人问题？,我为今天发生的事情感到非常生气。,我对我朋友的行为感到非常恼火。,我对我伴侣的行为方式感到恼火。,,,,,,,会不会因为不帮助别人而生气？,你是否因为感到恼火而责怪某人？,当您生气时，您是否经常发现自己试图控制他人？,你是否总是为发生在你身上的坏事而生自己的气？,在得出结论之前，您是否也倾向于包括其他人的观点？,你是否因为个人的烦恼而生气？你是在工作中还是在家里与人打架？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,25-29,我感觉很糟,什么都不好,我不好,,,,,,,你认为拯救别人是你的使命吗？,其他人会因为你的心情不好而受到责备吗？,你觉得有义务控制别人的行为吗？,我想知道您是否认为出现问题时总是责怪自己。,你能自信地说你总是能够考虑别人的观点吗？,你现在是否正在和其他人一起经历微妙和困难的时刻？,我不好，我对我的搭档很生气，因为他说了一些令人恼火的句子,我今天不酷，我很生气,我今天感到非常生气,,,,,,,你相信拯救别人是你的责任吗？,您是否感觉或相信其他人可能伤害了您？,你觉得有义务控制别人的态度吗？,你总是为自己的错误责备自己吗？,你有没有尝试过从另一个角度看待这种情况，以及你目前的情绪？,您是否与您所在环境中的人遇到了您似乎无法解决的问题？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,我很郁闷（苦闷，消沉,我情绪低落,我超级难过,,,,,,,你认为你应该为别人牺牲自己吗？,谢谢，我明白了。如果我问这个，你觉得现在每个人都想找你吗？,如果我问，你认为自己是那种总想掌权的人吗？,如果我问，你是不是总觉得自己搞砸了？,你会考虑别人的想法，并采纳他们的意见吗？,你会不会说你现在的生活太混乱，而且变得势不可挡？,我很生气,我真的很不开心,我讨厌一切,,,,,,,你觉得有必要为别人牺牲自己吗？,你是否觉得现在所有的人和所有人都在反对你？,您是否感觉或愿意控制他人？,无论发生什么事，你总是觉得不对劲吗？,你通常会考虑别人的想法，你重视他们吗？,在危机的边缘，您现在是否真的感到压力很大？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我好多了。我最近肯定有点发疯。,老实说，不是很好。我的猫刚刚去世。,我快要热泪盈眶了。我最近刚丢了工作，压力真的给我带来了。,,,,,,,你会说你倾向于帮助别人，甚至可能以牺牲自己的幸福为代价吗？,你觉得把你的问题和感受归咎于他人更容易还是更自然？,你有没有觉得你需要控制别人的行为来应对？,你是否发现你似乎总是为出错的事情责备自己，即使你无法控制它们？,您是否能够真正考虑与您交谈的人的观点？,您是否觉得您目前正在经历严重的个人困难，可能是与您的亲人或朋友？,不是很好。最近似乎一切都让我感到沮丧，我需要付出很多努力才能保持冷静。,我不断发现自己不由自主地握紧拳头。我感觉我的神经被击中了，我快要爆炸了。,我不能说我感觉很棒。我和以前一样易怒，我害怕做或说一些我可能会后悔的事情。,,,,,,,您认为拯救或帮助周围的人是您的责任吗？,你会说你的感受可以归因于别人吗？,你认为你最近需要控制你的人际关系吗？,您是否倾向于向内看并为出现的每个问题责备自己？,当你与他人交谈时，你是否能够认真倾听并诚实地考虑他们的观点？,您会说您目前正在经历个人创伤，可能涉及您的亲人或朋友吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,不太好。我的狗昨晚死了。,感觉不好。我妈妈昨晚住院了。,不太好。我期末考试不及格。,,,,,,,如果可以的话，您是否认为您可能正在尝试成为别人的救星？,明白了，谢谢，那我再深入研究一下。在这种令人遗憾的情况下，您是否觉得自己是受害者？,谢谢你的回复，很有帮助。试着从外面看自己，你是否觉得你在控制或试图控制别人的行为？,请问您是否一直认为自己是造成问题的主要原因？,谢谢你让我知道。您是否相信您已经探索了所有选项，包括其他人可能向您建议的选项？,很抱歉让您感到难过，为了帮助您，我想深入挖掘一下。如果你不介意我问一下，你正在经历一场艰难的个人危机吗？,极度愤怒！老婆离我而去！,糟糕的！我的室友偷了我的项链！,非常失望！我的老师错误地指责我作弊,,,,,,,感谢您的信任，感受您的感受是可以的。你相信你可以——或者应该——成为别人的救世主吗？,感觉你的感觉是可以的。你相信你是你情绪如此低落的受害者吗？,明白了，谢谢你觉得你可能试图控制别人吗？,谢谢，我明白了。你相信你是所有问题的根源吗？,谢谢你让我知道。你认为你已经考虑了所有的选择，你可以从每个角度来看待你当前的情况吗？,感谢您的答复。如果你不介意我问一下，你现在正在经历个人危机吗？你的人际关系或其他事情是否特别困难？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,60-69,我好多了。,我无法停止哭泣。,仿佛有一朵乌云笼罩着我。,,,,,,,您目前的担忧是否与您想要帮助的人有关？,您是否觉得有人以任何方式伤害了您？,你是否觉得有人不接受你的权威，但他们应该接受？,当出现问题时，您是否觉得好像总是要责怪自己？,与您交流过的其他人可能提供了一些建议。其他人提出的任何建议对您有帮助吗？,您是否会说您在与朋友或家人相处时遇到困难？,我非常生气,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,18-24,我不好，我真的很难过,我很难过，我和我男朋友吵架了,我感觉不好，我分手了,,,,,,,难不成你是来救人的？,你会因为你正在处理的这种负面情绪而责怪别人吗？,如果您必须对自己诚实，您是否觉得您可以或想要控制某人？,当事情出错时，你是否总是倾向于责备自己而不管你是否真的犯了错误？,想一想，你有没有真正考虑过其他人过去向你提出的其他观点和观点？,你是否觉得自己遇到了麻烦，没有人可以帮助你？,我不好，当陌生人撞到我的车时，我真的很生气,我感到非常恼火，我在酒吧打架并被禁止在那里,我真的很生气，我看到我丈夫欺骗我,,,,,,,请问你有没有觉得自己应该成为别人的救星？,谢谢你的回答。你会因为你现在的负面情绪而责怪别人吗？,你认为你现在可以试图控制别人吗？,你会说，出了事总是自责吗？,您能否自信地说，您过去一直仔细考虑朋友或家人提出的其他观点？,你会说你现在可能正在经历一些危机吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我觉得有点空虚。我的生活中没有任何事情发生。,我在垃圾场。一切可能出错的地方都出错了。现在杀了我。,今天早上刚看到新闻，我被摧毁了。,,,,,,,您是否认为您的脑海中某处正在发生某些事情，让您觉得自己应该成为生活中其他人的救世主？,我明白了，谢谢。你不开心是因为别人让你感觉不好，就像你被他们伤害了一样，你是受害者？,谢谢，我明白了。你是否有可能很难控制别人？,谢谢你的回答。当事情没有如愿以偿时，您是否觉得自己总是在责备和指责自己？,在您与他人的其他对话中，您是否充分考虑了他们试图提出的观点？,在您的内心深处，这是您正在经历的个人危机吗？你是否感到被你的亲人或朋友伤害？,我需要休息一下社交媒体,这是一个非常糟糕的时刻,这是一个非常紧张的时刻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
