response,annotator1_score,annotator2_score,annotator3_score,empathy_score
尝试不同的协议并看看这是否会让你感觉更好呢？,1,0,0,0
这种感觉是由特定事件引起的吗？,0,0,0,0
今天就到此结束，感谢您与我交谈，我希望这次谈话对您有所帮助。期待很快再次见到您。,2,2,2,2
您是否认为有时您会鼓励人们按照您认为他们应该的方式行事？,0,1,1,1
你现在的生活有什么困扰吗？,0,0,0,0
这真是太好了！如果您愿意，我可以建议一个协议来增强您当前的情绪。,1,2,2,2
谢谢你。我知道您的感受{}，对吗？,1,0,0,0
如果您同意，我想推荐以下协议。您可以选择您喜欢的一个来查看其内容。,1,2,2,2
非常感谢。我现在有一些问题可以帮助您了解您的情况。,1,2,1,1
我很遗憾听到这个消息。这是最近发生的还是不久前发生的？,1,1,2,1
我非常感谢您的努力，感谢您的参与。让我们很快再谈。,1,2,2,2
做协议 11 让你不高兴吗？,0,0,1,0
感到焦虑也可能与其他情绪混合在一起，我想看看您是否认识此列表中的任何一种，或者它们是否对您来说很熟悉。您之前是否曾强烈体验过以下任何一种情绪：,1,2,2,2
对你有帮助吗？,0,0,0,0
这是最近发生的事情还是过去发生的事情？,0,1,1,1
到目前为止，感谢您的回答。请问您是否觉得自己现在正在经历个人危机，或者您是否正在与周围的人遇到难以控制的人际关系困难？,2,1,2,2
我知道这对你来说可能很难说。请问，是最近发生的事情还是不久前发生的事情？,2,2,2,2
你是否觉得有必要成为你生命中其他人的救世主？,0,0,1,0
啊，我明白了。这是最近发生的事情还是不久前发生的事情？,0,1,1,1
请问是最近发生的还是很久以前发生的？,2,1,1,1
您是否发现其他人经常为您周围出错的事情负责？,1,1,1,1
感谢您今天勇敢并分享您的感受，我很感激。我期待着我们的下一次会议。,2,1,2,2
事件是最近发生的还是过去发生的？,0,0,0,0
你认为自己情绪低落是别人的错吗？,0,1,0,0
你有没有想过拥有不同于你自己的观点会是什么样子？,1,0,0,0
如果您不介意分享，您是否因为某个特定事件而有这种感觉？,2,1,2,2
谢谢，你今天太棒了。我希望我能很快见到你，再见！,1,1,0,1
你相信拯救某人的生命或减轻他们的问题会让你对自己感觉更好吗？,1,0,0,0
在这种情况下，你觉得自己是受害者吗？,1,0,0,0
是否发生了特别的事情导致了这种情况？,0,0,1,0
谢谢您，很抱歉您现在遇到困难并想提供帮助。让我们继续下一个问题并尝试解决这种情况。,2,2,2,2
我很遗憾听到你感觉更糟。您是否想尝试另一种协议？,2,1,2,2
您是否经历过以下任何情绪或想向另一个人表达它们：,0,0,1,0
在你的内心深处，这是你正在经历的个人危机，还是你的亲人或朋友感到受伤？,1,1,2,1
难道是为了解决你的处境和感觉更好，你试图控制你生活中的其他人吗？,2,1,2,2
谢谢你。你会说，也许你正试图控制别人，让他们做你想让他们做的事，或者说你想听的话？,1,2,2,2
我明白了，谢谢。你认为自己是别人的受害者吗？,1,0,1,1
非常感谢你跟我说话。我期待很快再次发言。,1,1,2,1
你的悲伤是否与一些更大的问题有关，比如你和你所爱的人之间的人际关系危机？,2,1,1,1
我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，是一个特定的事件吗？,1,2,2,2
谢谢你这样做。它有什么不同吗？你现在感觉好些还是更糟？,1,1,2,1
我知道这可能很难，但你能告诉我更多关于你的情绪吗？我想知道你是否对另一个人有过以下情绪：,2,2,2,2
除了你提到的之外，这些感觉中的任何一种也与你最近经历的事情有关：,1,1,2,1
你现在感觉如何？服用此方案后，您认为您的感觉比以前好还是差？,0,1,1,1
这是最近发生的还是不久前发生的？,0,0,0,0
你会因为你正在处理的这种负面情绪而责怪别人吗？,0,0,1,0
你会说你经常对自己太苛刻吗？,0,1,1,1
考虑到你所说的一切，我相信你有感觉{}，是这样吗？如果没有，请随时纠正我。,1,2,2,2
成为别人的救世主对你来说很重要，对你有好处吗？,1,0,1,1
如果我可以问，你有没有发现自己因为你的感受而责备别人？,1,2,2,2
哦，那不好。你认为我们可以再试一次吗，也许使用完全不同的协议？,2,2,2,2
当事情不对或出错时，您是否总是倾向于责备和指责自己？,0,0,1,0
最近有没有发生什么让你感到与朋友和家人的支持网络疏远的事情？,1,0,1,1
有没有人伤害过你，或者让你担心过，你是否因为他们给你带来了这么多麻烦而对他们心烦意乱？,1,0,0,0
如果我可以问，你会因为你今天的感受而责怪别人吗？,1,0,1,1
您认为在您目前的情况下可能还有其他观点可以考虑吗？,1,1,1,1
如果我理解正确，您会认为是 {}，这是一个公平的评估吗？,1,1,2,1
你的处境是否让你觉得好像是别人的错？,1,0,1,1
如果我可以问，您现在是否正在为个人问题而苦苦挣扎？,1,1,2,1
你想选择一个来试试吗？,0,0,0,0
我们试试不同的怎么样？,0,0,1,0
我想知道，如果你这样做了，你认为尝试第 6 号议定书重新审视这个事件，可能会促成这种感觉吗？,2,1,2,2
请问您现在是否觉得自己是受害者，并将您的感受归咎于他人？,0,1,1,1
当你认为事情进展不顺利时，你是否觉得自己总是在无意中伤害自己？,1,1,2,1
你认为你可能拥有或渴望影响他人的力量吗？,1,0,0,0
有时人们在尝试使用协议 6 时可能会受到不利影响。您最近是否尝试过使用协议 6 并发现这种体验令人痛苦？,2,1,1,1
您是否有受害的感觉，并且觉得周围的其他人让您有这种感觉？,0,1,0,0
请帮助我进一步了解。这是最近发生的事件还是来自遥远过去的事件？,1,2,2,2
我希望你可以谈论它。这是最近引起你焦虑的事情，还是过去遥远的事情？,2,2,2,2
当谈到你的谈话时，你认为自己是一个倾听其他观点的人吗？,0,0,1,0
我对一些协议有一些想法，我认为这些想法会对你很有帮助。你想试试哪一个？,2,1,2,2
当出现问题时，您是否发现自己总是要承担责任？,0,0,1,0
我们可以尝试多种协议，我想找到最适合您的协议。请继续看一下，您可以选择您觉得最舒服的任何协议。,2,1,2,2
我对此感到非常抱歉。你能从下面的情绪中突出你现在真正感受到的情绪吗？,2,2,2,2
感谢您开放并与我分享。你今天看起来像{}，你也会这么说吗？,2,2,2,2
你能给我一些帮助以确保我理解吗？这是一个清单 - 请让我知道哪一个描述了您的感受：,2,1,1,1
这种困难的情况是否导致您产生任何这些情绪和/或对它们采取行动：,1,0,1,1
你会将你生命中的这一刻描述为一个紧张而复杂的时期，你、你的人际关系和感情都受到强烈挑战吗？,2,2,2,2
你有没有尝试过从别人的角度来看待事情，这有帮助吗？,2,1,1,1
我知道谈论这些事情可能很难，所以谢谢你向我敞开心扉。你想告诉我更多关于这件事发生的时间，是最近发生的事件还是过去发生的事情？,2,2,2,2
我可以建议一个协议来帮助增强和保持良好的感觉，它真的有帮助吗？,1,1,2,1
我很遗憾听到这个消息。你能找出一个让你有这种感觉的特定事件吗？,1,2,2,2
好的，我明白了，请告诉我更多有关它的信息。这是什么时候发生的，最近还是不久前？,1,2,2,2
你觉得别人要为你的负面情绪负责吗？,0,1,1,1
你是否总是承担责任，即使这可能不是你的错？,1,1,1,1
如果我可以问，你认为你感到这种愤怒是别人的错吗？,1,2,2,2
你的悲伤是否有可能是因为无法拯救生命中你觉得需要拯救的人？,2,1,2,2
这些是我的建议。请选择您要尝试的协议。,0,1,0,0
你想控制一个不合作的人吗？,0,0,0,0
这是一种很棒的感觉。我可以建议一个协议来帮助增强和保持良好的感觉，它真的有帮助吗？,2,1,1,1
作为你的朋友，你可以随时告诉我任何事情，我会尽我所能帮助你。你能告诉我是否发生了让你有这种感觉的事情吗？,2,2,2,2
我很抱歉。如果您想尝试另一种协议，可能有更好的协议？,1,1,2,1
是不是有什么特别的东西带来了这种感觉？,0,0,0,0
我明白你感到焦虑。除了这种感觉，你最近是否对某人也有过以下情绪：,1,2,2,2
请选择您认为最适合您的那个。,1,0,0,0
请问是不是有什么具体的原因导致了这种感觉？,1,1,2,1
有没有可能是你想救人？,0,1,1,1
你认为你应该为别人牺牲自己吗？,0,0,0,0
考虑到你所说的一切，我相信你有感觉{}，是这样吗？如果没有，请随时纠正我。,2,1,2,2
你有没有觉得你在试图控制某人？,0,0,1,0
现在我会问一些问题来了解你的情况。,0,0,0,0
我想了解一下您如何看待自己在社交圈中的角色。你是否经常觉得拯救别人是你的工作，或者别人期望你那样做？,2,2,2,2
那件事是最近发生的，还是在你过去更久远？,0,0,1,0
这是因为最近发生的事情，还是你想起了更遥远的过去？,1,1,2,1
别人让你觉得自己是受害者有过错吗？,0,1,0,0
你现在感觉怎么样？我希望它对您有所帮助。,2,2,2,2
你有没有想过拥有不同于你自己的观点会是什么样子？,0,0,1,0
最近或遥远的事情是否触发了这些感觉？,0,0,0,0
有什么事吗？,0,0,0,0
你总是试图批评自己吗？,0,0,1,0
我要感谢您今天与我分享您的想法和感受。我真的很想很快再见到你，所以请在你有空的时候光临。,2,2,2,2
我很遗憾听到这个消息，希望你不介意与我分享这件事发生的时候吗？它是最近的还是遥远的？,1,2,2,2
重温过去的负面事件，你会感到非常不舒服吗？,0,1,1,1
回想以前的情况和与他人的对话，你有没有跳出你的思维过程，思考可能挑战你的观点？,1,2,2,2
让我知道您更愿意尝试哪种协议。,0,0,0,0
在这件事发生后使用协议 6 是否让你基于过去的情况更加无法控制？,1,0,0,0
偶尔为自己的问题责备自己是正常的，但我们应该注意不要让这成为一种破坏性的习惯。你有没有注意到你总是因为任何事情出错而责备自己？,2,2,2,2
您是否在个人关系中遇到困难（例如与朋友的失败）？,0,0,1,0
您是否对您知道的其他人强烈感受到或表达了以下任何情绪：,0,1,1,1
你是否觉得自己受到了伤害，是别人的错？,0,1,1,1
我很抱歉你感觉更糟了。也许我们应该坐下来尝试另一种可能对您更有益的协议？,1,2,2,2
想一想，你有没有真正考虑过过去别人给你的其他观点和观点？,0,1,1,1
是否有其他人让你感到悲伤？,0,1,0,0
为了让你感觉更好，我需要了解是否有任何事情导致了这种情况；这是一个特定的事件吗？,2,1,1,1
我真诚地道歉。您能帮我从列表中选择最符合您感受的选项吗？,1,2,2,2
谢谢，我希望你现在感觉好多了，但如果你觉得你感觉更糟了也没关系。服用此方案后您感觉如何？,2,2,2,2
我听说你很焦虑。有没有发生什么事情可能让你有这种感觉？,1,1,2,1
你觉得导致你体验这些感觉的情况是最近的还是遥远的？,1,0,1,1
服用此方案后感觉如何？你认为它对你有好处吗？,0,1,1,1
啊，那不好，也许换个选择会更好。你想再做一个吗？,1,1,2,1
你正在经历个人危机吗？,0,0,0,0
是特定事件造成的吗？,0,0,0,0
你现在可以试试这个协议，当你准备好继续时，你可以选择“继续”。,1,0,0,0
谢谢你告诉我。你介意我问你一些关于这些感受的问题吗？,1,2,2,2
非常抱歉。请从以下情绪中选择您的感受：,1,2,2,2
极好的！我有一个建议可以让你感觉良好，你想看看吗？,1,1,2,1
这种情况是否会让您感到任何特别负面的情绪，例如下面列出的那些：,1,0,1,1
非常感谢您今天的诚实和努力，非常感谢。我希望很快能在见到你。,2,2,2,2
我很遗憾听到这个消息。我还可以问一下它是由最近或遥远的事件（或事件）引起的吗？,1,2,2,2
我想更好地理解为什么你现在会经历这种消极的感觉。你相信拯救某人的生命或减轻他们的问题会让你对自己感觉更好吗？,2,2,2,2
您可能已经讨论过并提出了各种需要考虑的观点。当这些被呈现给您时，您是否真的考虑过其他观点和观点？,1,1,2,1
你觉得别人在试图伤害你吗？,0,1,1,1
非常感谢你让我知道。你会说这件事发生在最近，还是你还记得更远的过去？,2,1,2,2
你觉得你必须拯救别人吗？,0,0,1,0
我想知道现在是否有任何事情发生，感觉比正常情况要大。你觉得你正面临个人危机吗？,2,1,2,2
我知道这对您来说可能很难讨论，但您的信息非常有用，谢谢。我可以继续问你一些问题，以便更清楚地了解你的情况吗？,2,2,2,2
我很感激你感到很舒服，可以和我分享。您愿意分享更多内容以便我提供帮助吗？,2,2,2,2
让你有这种感觉的事件是最近发生的还是很久以前发生的？,1,1,1,1
你想告诉我是什么事件引发了这些感觉，是最近的事件还是过去遥远的事件？,2,1,1,1
谢谢你回答。您是否能够考虑在以前的对话中向您提出的其他观点和意见？,1,2,1,1
我明白了，谢谢。在这种情况下，您是否将自己视为受害者？,1,1,2,1
谢谢你，也许协议 11 可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过不好的经历。你是否已经尝试过第 11 号议定书？如果是，它是否激起了困难或创伤性的情绪？,2,1,2,2
我了解您正在经历一个艰难的时刻，我相信深入了解这些情绪的本质将帮助我了解帮助您摆脱痛苦的最佳方法。您是否曾经对一个或多个人有过以下任何情绪或表达过：,2,2,2,2
你觉得你可能试图影响或改变别人的行为吗？,0,1,1,1
你是否觉得你试图为别人的行为负责？,0,0,1,0
如果可以的话，你认为也许你正试图成为别人的救世主吗？,2,1,1,1
您是否觉得您当前的情绪可能是由特定事件或事件引起的？,1,1,1,1
我很快就会再见到你。,0,0,0,0
你现在是否特别困难？你觉得你需要帮助吗？,1,1,2,1
有这种感觉是完全正常的，你不是靠自己。您想尝试不同的协议，看看它是否让您感觉更好吗？,2,2,2,2
有时我们会被负面情绪所淹没。你有没有对某人有过这些情绪的经历：,1,2,2,2
协议 11 可以唤起你可能很久没有感受到的情绪，所以我想知道它是否适合你。有没有可能你最近尝试了 11 号议定书，而这又重新点燃了负面情绪？,2,2,2,2
好吧，那很不幸，我道歉。有许多不同的协议可供选择，您想尝试其他协议吗？,1,2,2,2
你想试试协议吗？,0,0,0,0
你会说你现在的生活太混乱了，而且变得不堪重负吗？,1,0,2,1
你有没有想过别人在你的情况下会怎么想或有什么感受？,1,0,0,0
您是否认为有时您可能会觉得有必要来拯救某人？,0,1,1,1
你是否充分意识到你当前处境的另一面，你知道或曾经考虑过对他人的影响吗？,0,0,1,0
您过去可能进行过其他对话，讨论了其他观点和观点。你有没有将提供给你的任何建议或新观点付诸实践？,2,1,2,2
你认为为了让自己感觉更好，你需要帮助别人吗？,1,0,0,0
我真的很高兴你能参加。希望我们能尽快联系，再次感谢。,1,2,2,2
你会说你倾向于帮助别人，甚至可能以牺牲你自己的幸福为代价吗？,2,1,2,2
也许你会说，当出现问题时，你总是责备自己？,1,1,2,1
您是否有可能强行影响他人的决定和行为？,2,0,1,1
服用此方案后感觉如何？你认为它对你有好处吗？,1,0,0,0
这是由于最近或更远的事件或事件造成的吗？,0,0,0,0
你有没有注意到你最近总是因为任何消极的情况而责备或指责自己？,1,0,0,0
太好了，那我们继续吧。一旦你尽力而为并完成，回来并按“继续”。,1,2,2,2
在之前的对话中，您是否停下来倾听并思考其他提出的观点？,0,1,0,0
你现在的生活中是否有任何重大的个人问题？,0,0,1,0
当事情出错时，您是否总是责备自己或为发生的事情指责自己？,1,0,0,0
好的，我听听你的感受。我可以提出不同的建议让您尝试吗？,2,1,1,1
我真的很想了解更多关于你目前生活中发生的事情。是不是你总是觉得你必须关心或拯救别人？,2,1,2,2
偶尔为自己的问题责备自己是正常的，但我们应该注意不要让这成为一种破坏性的习惯。请告诉我，当事情出错时，你总是把责任归咎于自己吗？,2,2,2,2
听到这个我真的很难过。也许我们应该坐下来尝试另一种可能对您更有益的协议？,1,2,2,2
一会儿见！,0,0,0,0
你有没有退后一步，全方位考虑，站在别人的角度看待自己的处境？,1,0,1,1
你会考虑别人的想法，并接受他们的意见吗？,0,0,1,0
你认为别人是在逼你做某事，还是在以某种方式伤害你？,0,0,1,0
你是否会在不知不觉中试图控制周围的人？,0,1,1,1
尝试不同的协议并看看这是否会让你感觉更好呢？,0,0,1,0
很抱歉您感到难过，为了帮助您，我想深入挖掘一下。如果您不介意我问，您是否正在经历严重的个人危机？,1,2,2,2
导致你悲伤的事件是最近的还是遥远的？,1,0,1,1
我真的很想帮助您感觉更好，并且可能需要了解更多有关此事件的信息。例如，它是最近发生的还是发生在更远的过去？,2,2,2,2
很高兴听到你心情很好。我实际上有一个有益的协议，你可以试试。,1,0,1,1
你认为拯救别人是你的使命吗？,0,0,0,0
我知道了。你介意告诉我这是最近发生的还是过去发生的？,0,1,1,1
谢谢，我想知道你现在的感受。您认为该协议有任何积极或消极的影响吗？,1,2,2,2
有时会发生这种情况，但这里有更多的协议可能更适合您。你想尝试另一个，看看它是否有帮助？,1,1,2,1
你有没有觉得你试图让某人处于你的控制之下？,0,0,1,0
你现在是否因为试图控制你无法控制的某人或某事而感到沮丧？,0,0,0,0
您想尝试不同的协议吗？,0,0,1,0
您想换一个不同的再试一次吗？,0,0,1,0
非常感谢你让我知道。你会说是最近或遥远的事件（或事件）引起了这种情绪吗？,2,1,2,2
很抱歉你现在正在经历这些。是否有任何特定事件导致了这种情况？我希望我能做些什么来提供帮助。,2,2,2,2
有没有可能是你试图控制某人？,1,1,2,1
请原谅我。在不引导你的情况下，请从我给你的列表中选择你的感受。,2,2,2,2
你有没有觉得你需要控制他人的行为来应对？,1,2,2,2
感谢您通过分享您的感受来委托我。根据您告诉我的情况，我会说您现在感觉{}，这听起来对吗？,2,2,2,2
这个事件是最近发生的还是不久前发生的？,1,0,0,0
仔细阅读协议，请慢慢来，按照自己的节奏进行，不要着急。完成后，按“继续”。,2,2,2,2
你会说当出现问题时，你会觉得责任总是属于你的吗？,1,1,2,1
这是最近发生的还是不久前发生的？,0,0,0,0
你想跟随哪一个是你的选择。,1,0,0,0
您是否觉得您目前正在经历严重的个人困难，可能与您所爱的人或朋友在一起？,2,1,2,2
感谢您信任我并分享您的感受。如果我理解正确，您现在正在感受 {}，您会说这是真的吗？,2,2,2,2
老实说，你认为控制某人是可以的，还是你会这样做？,1,0,1,1
当事情出错时，你是否总是觉得自己应该受到责备？,0,1,0,0
如果可能的话，我想知道你是否觉得你总是对过去向你提出的不同观点给予充分和仔细的考虑。,2,1,2,2
如果我可以问，你是不是总觉得自己搞砸了？,2,1,1,1
你认为你可能以一种控制的方式行事吗？,1,0,1,1
是不是有什么特别的东西带来了这种感觉？,0,0,1,0
你还记得你最近是否对某人有过强烈的感受或表达过以下任何一种情绪：,0,0,1,0
谢谢你让我知道。你觉得别人让你有这种感觉吗？,2,1,2,2
这些天来，您是否在与朋友或家人相处时遇到麻烦？,0,0,1,0
我很遗憾听到这个消息。我还可以问一下它是由最近或遥远的事件（或事件）引起的吗？,1,2,2,2
请从以下协议中选择一个协议。,0,0,0,0
你正在经历艰难的时期，还是个人危机？如果是这样，你可以告诉我。,1,1,2,1
当出现问题时，你总是责备自己吗？,0,0,1,0
你总是不公平地让自己对发生在你身上的事情负责吗？,1,0,1,1
你认为自己是救世主吗？,0,0,0,0
我想知道你是否感到被周围的人理解或反感；这对我来说很重要，能够帮助你。你认为你周围的其他人是问题的一部分，他们对你的悲伤负责吗？,1,2,2,2
你觉得这个协议怎么样？,0,0,1,0
很抱歉这件事发生在你身上。这是最近发生的还是不久前发生的？,1,2,2,2
你有没有注意到由于过去的事件，在尝试协议 11（如果你已经尝试过）时是否会产生难以忍受的情绪？,1,1,2,1
你是否总觉得问题是你自己的错？,0,0,1,0
过去，您是否曾对自己或他人表达或感受过这些负面情绪：,0,1,0,0
你想管别人吗？,0,0,0,0
有些人发现协议 11 不一定对他们有帮助，所以我正在尝试评估它是否适合您当前的情况。您是否尝试过协议 11，它是否让您感到任何负面情绪？,2,1,2,2
带着这种感觉，你有没有想过要救别人？,1,0,1,1
对此我很抱歉。这是由特定事件引起的吗？,1,1,2,1
我明白。这与最近发生的事情或更远的事件有关吗？,1,2,2,2
很抱歉听到这个消息。是最近的事件还是更远的事件导致了这种情况？,1,2,2,2
服用此方案后您感觉如何？,0,1,1,1
很抱歉，我不是故意误判的。请从下面的列表中选择一种最能描述您的感受的情绪：,2,2,2,2
你是否觉得自己在评判自己，在逆境中总是责备自己？,1,2,2,2
你目前正在经历一些私人的事情吗？,0,0,1,0
你通常能够设身处地为他人着想吗？,0,0,1,0
你思想开放，能够倾听别人的想法吗？,0,0,0,0
你觉得你让某人失望了吗？,0,0,1,0
也许你的压力源于你个人正在经历的一些困难。您与亲人或朋友有任何困难吗？,2,1,2,2
谢谢，希望对你有帮助。你能告诉我你在服用这个协议后感觉好还是坏？,2,2,2,2
感谢您迄今为止的合作。请问您是否觉得有义务将生活中的其他人从他们自己的问题中解救出来？,1,2,2,2
你觉得这个协议怎么样？它是帮助你感觉更好还是产生了相反的效果？,1,2,2,2
你觉得你让某人失望了吗？,0,0,1,0
再见。,0,0,0,0
真是太好了！我可以建议一种可以很好地保持积极情绪的协议。,1,2,2,2
我明白了，谢谢，那我想深入一点。在这种令人遗憾的情况下，你觉得自己是受害者吗？,1,2,2,2
你会说你感受到这些情绪的原因完全是因为其他人吗？,1,0,2,1
会不会是你潜意识地试图引导或引导另一个人的行为？,1,1,2,1
很抱歉对于这个误会。请您从下面的情绪中选出最能反映您的感受的情绪，以便我更好地理解它？,1,2,2,2
没关系，不是每个人都在第一次之后感觉更好。我们试试另一个怎么样，看看我们如何处理那个？,2,2,2,2
您现在最亲近的人是否有任何重大问题或影响？,0,0,1,0
我已经考虑过什么最适合你。如果您查看选项并让我知道您想尝试哪种协议，那就太好了。,1,0,2,1
我很抱歉我误解了这一点。我可以请您从下面的列表中选择更准确地捕捉您的感受的情绪吗？,2,1,2,2
在谈话中，你通常会考虑其他人的观点吗？,1,0,0,0
那可能很粗糙。你认为这可能与发生的事情有关吗？,2,1,2,2
你觉得哪让我觉得抱歉。这是由特定的东西引起的吗？,1,1,2,1
你觉得别人应该为你的悲伤负责吗？,0,1,1,1
请问您是否对某人有过这些情绪或表达过这些情绪：,0,1,1,1
这个协议是否改变了你的感觉，无论是好是坏？,1,0,1,1
很抱歉这件事发生在你身上，希望能有所帮助。你能告诉我这个事件是最近发生的还是遥远的？,2,2,2,2
谢谢你的回答，我总是在这里理解和帮助你，从不评判。你有没有可能试图掌控别人的生活？,2,2,2,2
谢谢你今天和我分享。想说话的时候随时回来找我。,1,1,2,1
很抱歉，您现在正在经历这种消极情绪。如果我可以问，请老实说，你是不是说在向你提出这些观点时，你总是充分考虑到其他人的观点？,2,1,2,2
你在这个协议之后感觉如何？,0,0,0,0
你觉得有人正在或试图伤害你吗？,0,1,0,0
如果您不介意我问，我想知道您是否将这些负面情绪归咎于他人。,1,1,0,1
没关系，谢谢你让我知道。您是否觉得自己对此不承担任何责任，而伤害了您则应归咎于他人？,2,1,2,2
好的谢谢。你能告诉我这是最近发生的事情，还是不久前发生的事情？,0,1,1,1
我有一些你可以尝试的协议的建议。请选择一个立即查看：,1,0,1,1
我很欣赏这可能是新的，但现在尝试通过这个协议。完成后，按“继续”按钮。,2,1,2,2
这是最近发生的，还是前段时间发生的？,0,0,1,0
我们可以尝试其他协议。你会对此持开放态度吗？,1,0,0,0
你和你爱的人有什么困难吗？,0,0,1,0
您想尝试另一种协议，看看它是否也能让您感觉更好吗？,1,0,1,1
您想尝试其他协议吗？,0,0,1,0
我可以看出您可能会感觉{}，这是准确的吗？,0,0,1,0
请问您是否总是为生活中的所有问题而责备自己？,2,1,1,1
请花一些时间现在通过协议。准备好后，请回来，以便我们继续。,1,2,2,2
你能倾听别人的观点吗？,0,0,0,0
你会不会说在之前的谈话中你总是倾听别人的观点，花时间仔细考虑他们的观点？,1,2,2,2
我可以认同这一点。现在，这些感觉是最近发生的事件还是很久以前发生的事件的结果？,2,2,2,2
你和你生活中的一个或多个人之间是否存在权力斗争，需要有人获胜？,0,0,1,0
很抱歉听到它，很好地完成了它。如果您想尝试其他协议，看看这是否更适合您，还有其他选择。,2,2,2,2
协议 11 中的练习对某些人来说可能很困难，所以我想知道它们是否适合你。您是否尝试过协议 11 中的练习并发现它们困难或痛苦？,2,1,2,2
你总是为任何问题责备自己吗？,0,0,0,0
这种情况是最近发生的，还是一直困扰您一段时间的事情？,1,1,2,1
有人要为你所感受到的疾病负责吗？,0,0,1,0
我想知道当发生不好的事情时，你是否总是感到有责任感。,1,0,0,0
我很遗憾听到这个消息。我们也许应该尝试另一个？,1,2,2,2
对别人有强烈的情绪是很正常的，我不是来评判你的。您是否对他人有过以下情绪或表达过以下任何一种情绪：,2,2,2,2
完成这个协议后你感觉如何？我希望它有所帮助。,1,2,2,2
我知道了。所以你感觉{}，对吗？,0,0,1,0
这有助于让你感觉更好，还是真的没有？,0,0,1,0
感谢您今天的耐心等待。再见！,1,0,1,1
您是否执行了协议 6，是否让您感觉更糟？,0,0,1,0
这很难。这是最近发生的还是不久前发生的？无论哪种方式，你的感受都是完全正确的。,2,2,2,2
你是否总是觉得自己是一个过错的人，即使你不应该这样做？,1,2,2,2
你觉得你是受害者吗？,0,0,1,0
你认为你需要成为别人的救世主吗？,0,0,1,0
谢谢你让我知道。您是否相信您已经探索了所有的选择，包括其他人可能向您建议的选择？,2,1,2,2
老实说，你认为你总是可以考虑替代你的观点吗？,1,1,2,1
你觉得有人需要你的帮助吗？,0,0,1,0
有没有什么特别的东西让你有这种感觉？,0,0,1,0
这是最近发生的事情还是很久以前发生的事情？,0,1,0,0
有时我们可以将嫉妒、贪婪、嫉妒、仇恨或恶意的情绪反映在他人身上，过去的不信任会导致报复的想法，但请放心，所有这些情绪都是完全正常的感受。您是否认为您可能会感受到以下任何一种情绪：,2,2,2,2
好的，这是我的建议。您可以选择您认为现在最适合您的任何协议。,1,0,0,0
你认为你需要成为别人的救世主吗？,0,0,1,0
我可以推荐一些可能有帮助的协议。随意从这些协议中选择您喜欢的协议。,1,0,2,1
在你身边或你的生活中，有没有你想要控制的人？,0,0,1,0
你认为这种情况，以及其中的人，是你试图控制的东西吗？,1,0,1,1
您与之交流过的其他人可能提供了一些建议。其他人就您目前的情况提出的任何建议对您有帮助吗？,2,1,2,2
您是否注意到由于过去的事件，尝试协议 6（如果您尝试过）是否会产生难以忍受的情绪？,1,2,2,2
谢谢你。你会说你在个人生活中面临困难吗？,1,1,2,1
你能告诉我你在服用这个协议后感觉好还是坏？,1,2,1,1
我希望你不介意我问，但你正面临困难时期吗？,1,1,2,1
我明白了，谢谢。你会说这件事发生在最近，还是你还记得更远的过去？,2,1,2,2
非常感谢您今天的诚实和努力，非常感谢。很快再见！,2,2,2,2
我非常抱歉你正在处理困难的情绪。你觉得，也许，你应该在你的生活中拯救别人吗？,1,2,2,2
哦，那不好。是不是有什么东西引发了这种感觉？,2,1,2,2
感谢您与我分享您的情绪，我知道现在可能很难处理它们。为了让我能更好地帮助你，你能告诉我某个特定事件是否让你有这种感觉吗？,2,2,2,2
谢谢你。我想知道你是否因为与朋友或家人的问题而正在经历一个特别困难的时刻。,1,2,2,2
感谢您的时间。我相信我们会再次相遇！,1,0,1,1
这种感觉是由于最近或遥远的事件而产生的吗？,1,0,0,0
接受协议后感觉如何？,0,0,1,0
你认为这有助于你感觉更好还是让你感觉更糟？,0,0,1,0
请让我知道您想尝试哪一个。,0,0,1,0
你认为通过另一个协议会有所帮助吗？,1,0,1,1
这种感觉的原因是在你年轻的时候还是最近发生的？,2,1,1,1
你觉得有必要控制别人吗？,0,0,0,0
我可以推荐一个治疗方案来增强你的积极情绪吗？,1,2,1,1
回头见！,0,0,0,0
现在你已经尝试了这个协议并到达了终点，你对你的情况感觉更好还是更糟？,1,0,1,1
我很遗憾听到这个消息。你愿意尝试另一个协议吗？,1,2,2,2
你和你爱的人有什么困难吗？,0,0,1,0
您最近是否与朋友或亲人有过私人问题，可能是吵架，或者您是否有家庭问题？,1,1,2,1
感谢您的信任，请帮助我更好地理解。你会不会说，在之前的谈话中，你一直都愿意倾听别人的看法和意见？,1,2,2,2
你认为自己是别人行为的受害者吗？,0,0,1,0
我很抱歉这没有帮助。我们再试试？,0,1,2,1
在审视自己的处境时，你是否总是为正在发生的事情自责和指责自己？,1,0,0,0
对不起，有时很难知道有人在键盘后面的感受。相反，您介意从这个列表中选择一种更适合您当前状态的情绪吗？,2,1,2,2
感谢您的选择！如果您现在可以尝试通过此协议，我将不胜感激。完成后，您可以返回并按“继续”按钮。,1,2,2,2
我想问一下您对该协议的看法，以及它是否对您有所帮助。你感觉好多了，还是真的让你感觉更糟了？,2,1,2,2
