,Unnamed: 0,gender,age,emotion,base,rewriting
706,706,女性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你帮助我更好地理解。我想知道您最近是否尝试过协议 6，如果是，您是否发现它弊大于利？
707,707,女性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我想了解协议 6 是否适合您，因为它可能非常激烈。请问您最近是否尝试过协议 6，并发现这会带回过去的负面情绪？
710,710,女性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你；我认为协议 6 可以帮助你处理这个事件，但是有些人报告说这个协议可能相当激烈。你是否已经尝试过协议 6，如果是这样，它是否激起了困难或创伤性的情绪？
711,711,男性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,如果你能和我分享以下信息，那对我会有很大帮助。您最近有没有尝试过协议 11，如果是这样，它是否让你感到难以管理情绪？
716,716,男性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我知道有时回想过去会让人不舒服。您是否尝试过通过协议 11？如果是这样，您是否感到无法处理出现的情绪？
718,718,女性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,这真的很有帮助，谢谢。据您所知，执行协议 11 是否让您感到生气或不安？
733,733,女性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 11 是一项更艰巨的练习，并不适合所有情况；我正在尝试确定它是否适合您。您是否尝试过协议 11 并发现它太难了？
741,741,男性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,明白了，非常感谢分享。最近对协议 11 的尝试是否导致过去的情绪爆发？
746,746,女性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我理解并且很抱歉发生这种情况。您最近是否尝试过协议 11 并发现由于旧事件而重新点燃了无法控制的情绪？
748,748,女性,40-69,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你帮助我更好地理解。我还想知道您最近是否尝试过协议 11，如果是，您是否发现它弊大于利？
749,749,女性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我想了解协议 11 是否适合您，因为它可能非常激烈。请问您最近是否尝试过协议 11，并发现这会带回过去的负面情绪？
752,752,女性,40-69,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你；我认为协议 11 可以帮助你处理这个事件，但是有些人报告说这个协议可能相当激烈。你是否已经尝试过协议 11，如果是这样，它是否激起了困难或创伤性的情绪？
754,754,男性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,我很高兴你能分享你的情绪。我想再问你几个问题，以便更好地了解情况。
756,756,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,我很感激你试图发泄你的愤怒。让我们试图寻找一些问题的答案，以便我们更好地了解您的情况。
757,757,男性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,我很感激你与我分享这个。我想再问几个问题，以帮助我了解您的情况。
758,758,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,我很遗憾听到你正在经历这一切。现在我会问你一些更多的问题来了解发生了什么，感谢你的配合。
761,761,男性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,感谢您与我分享这一点，我知道对这些事情诚实可能很难。现在我会问你几个问题，以便更好地了解你目前的情况。
762,762,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,所有这些都非常有价值，感谢您到目前为止的回答。如果可以的话，我想问更多关于你的感受的问题。
765,765,男性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,很高兴你能告诉我，谢谢。现在，如果你没问题，我想问你一些事情，这样我就可以确定现在发生了什么。
769,769,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,你所经历的听起来很难。为了更好的了解你的情况，我现在再问你一些问题。
775,775,男性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,我希望我们今天能解决问题，让你感觉更好。我还有几个问题要问是否可以。
778,778,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,感谢您到目前为止的耐心等待。我还有几个问题可以更好地确定如何提供帮助。
779,779,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,你很坚强，我相信如果我们一起努力，这一切都会过去，你会感觉更好。我现在很想再问一些问题，以便我能理解。
781,781,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,我很感激你分享它。我现在可以问一些问题以确保我理解一切吗？
784,784,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,谢谢你的诚实，我知道这可能很困难。我只是要问几个问题，以便更好地了解您的具体情况。
787,787,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,感谢您与我分享这一点，让我们再深入了解一下。我现在想再问你一些问题，以便我可以提供帮助。
789,789,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,非常感谢您的回复。我可以找到一些额外的信息来帮助我能够充分理解您的担忧吗？
793,793,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,感谢您的分享，这是您正在体验的一种完全正常且有效的情绪。现在，如果您不介意的话，我想再问您一些问题以更好地了解情况。
794,794,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,很抱歉你现在必须处理这个问题。请让我问你一些问题，以便我确定什么是让你感觉更好的最佳行动方案。
797,797,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,谢谢你这么耐心的回答，我知道这可能很困难。如果可以的话，我想再问一些问题，以便我可以建议最佳的行动方案。
800,800,女性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,我知道你生气了。你能告诉我，除了这种愤怒之外，你是否对任何人也有过以下强烈的情绪：
803,803,男性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,有时我们在某些情况下感觉非常强烈。您是否对生活中的某个人有过以下任何一种情绪：
813,813,男性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,很抱歉你感觉不好，想通过更多调查来帮助你。您是否表达过或经历过以下任何负面情绪：
820,820,女性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,我们都会感受到某些情绪，但如果我们专注于它们或根据它们采取行动，那可能是不健康的。最近几天，您是否对以下任何情绪感到非常强烈或向他人表达过这些情绪：
824,824,男性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,这当然不是一个理想的情况，如果可以的话，我想进一步调查你的情绪状态。您是否对任何特定的人有过以下强烈的情绪：
826,826,女性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,理解我们的情绪可能很困难。您是否会说您对以下情绪有任何强烈的感受或表达：
830,830,男性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,我知道这可能很难，但你能告诉我更多关于你的情绪吗？我想知道您是否对另一个人有过以下情绪：
833,833,女性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,我们有时会感觉到我们认为不好的情绪，但我们知道它们不好这一事实让我们意识到，所以感受这些情绪是可以的，我们总有一天会感受到它们。您是否对某人有强烈的感受或表达过以下任何一种情绪：
835,835,女性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,有时，我们可能会感受到我们并不引以为豪的情绪，但识别它们、接受它们并理解它们仍然很重要。请问您是否对另一个人有以下情绪：
836,836,女性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,生活中有些时刻我们可能会体验到我们并不引以为豪的情绪，但没关系，只要我们准备好向它们学习。您是否会说您最近有以下情绪：
838,838,男性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,请试着坦率地看待你现在的情绪状态。您是否认为您最近可能强烈感受到以下任何一种情绪：
839,839,女性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,谢谢，下一个问题是关于可能影响我们生活和人际关系的负面情绪，因此我们学会识别它们很重要。想想您最近的过去，您是否有时会对某人产生以下任何情绪：
843,843,男性,18-39,愤怒,您认为您应该成为别人的救星吗？,我非常抱歉你正在处理困难的情绪。也许你觉得你应该在你的生活中拯救别人？
851,851,男性,18-39,愤怒,您认为您应该成为别人的救星吗？,有时，当我们生气时，是因为我们想帮助别人，但我们觉得我们做不到，或者他们不让我们做。你是否觉得在你的生命中，有一个你想要拯救或拯救的人？
858,858,男性,40-69,愤怒,您认为您应该成为别人的救星吗？,感谢您的信任，感受您的感受是可以的。你相信你可以——或者应该——成为别人的救世主吗？
873,873,男性,40-69,愤怒,您认为您应该成为别人的救星吗？,谢谢你，你做得很好。如果我问你，你发现自己在努力拯救你周围的人吗？
877,877,女性,40-69,愤怒,您认为您应该成为别人的救星吗？,让我们试着了解是否有更深层次的事情让你感到这种愤怒。最近有没有发生什么事情，你是否对某个人感到内疚，也许……一个你无法帮助的人？
878,878,女性,40-69,愤怒,您认为您应该成为别人的救星吗？,谢谢你和我分享这个。为了我能更好地帮助你，你能告诉我，你是否一直觉得生活中比平时更需要帮助别人，或者拯救他们是你的责任？
879,879,女性,18-39,愤怒,您认为您应该成为别人的救星吗？,让我们试着找出让你感到这种愤怒的更深层次的原因。可能是因为您无法将生活中的某个人从他们自己的问题中解救出来而感到沮丧吗？
881,881,男性,40-69,愤怒,您认为您应该成为别人的救星吗？,在回答这个问题之前，请试着仔细想想你最近的过去。最近，您是否觉得自己有责任拯救周围的人，以牺牲自己为代价来帮助他们克服问题？
908,908,女性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,有时别人让我们受苦，但有时可能是我们逃避为自己的行为和选择承担责任。你觉得你因为别人而受苦吗？
909,909,男性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,我理解你很生气，你很受伤。你认为你周围的人正在造成你正在经历的负面情绪吗？
915,915,男性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,没关系，谢谢你让我知道。您是否觉得，也许是某人或某事引起了您的负面情绪？
920,920,女性,40-69,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,谢谢，那么我们需要在别处寻找导致您负面情绪的原因。是其他人让您有这种感觉，例如您的家人或工作中的某个人吗？
921,921,女性,40-69,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,好的，谢谢你让我知道。也许您已经陷入一种心态，将自己视为受害者，而其他人是肇事者？
922,922,女性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,我明白了，那么受害的感觉呢，这些有时会让我们对这个世界感到愤怒。你觉得别人在伤害你或利用你吗？
924,924,男性,40-69,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,感谢您的回答，让我们看看是否还有其他事情困扰着您。你觉得最近有人虐待你或伤害你吗？
938,938,男性,18-39,愤怒,您觉得您在试图控制某人吗？,您是否担心可能会将这些愤怒情绪发泄到某人身上，并试图控制它们？
958,958,女性,40-69,愤怒,您觉得您在试图控制某人吗？,再次感谢您帮助我了解情况。您是否有可能试图控制或操纵生活中的其他人？
960,960,男性,40-69,愤怒,您觉得您在试图控制某人吗？,再次感谢您的合作。我可以问一下，您是否对某个人感到如此负责，以至于您可能试图控制他们？
962,962,男性,40-69,愤怒,您觉得您在试图控制某人吗？,有时我们会后悔自己的生活没有始终处于掌控之中，并因此试图控制他人。你觉得你可能试图控制某人吗？
963,963,女性,40-69,愤怒,您觉得您在试图控制某人吗？,我想知道您的愤怒是否部分是由于缺乏控制和对它的渴望引起的。您是否感到无法但又想控制所爱的人或工作中的某个人？
964,964,女性,40-69,愤怒,您觉得您在试图控制某人吗？,当我们觉得自己的生活很少或没有时，我们可能会渴望控制。可能是你希望或试图控制你生活中的某个人？
965,965,女性,18-39,愤怒,您觉得您在试图控制某人吗？,好的，谢谢你，那我们需要去别的地方看看你为什么会有这种感觉。可能是你有控制你认识的人的言行的愿望，但这种愿望让你感到沮丧？
981,981,男性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,当发生伤害我们的事情时责备自己是很正常的，但如果我们总是这样做，它可能会积聚成非常愤怒的情绪。你认为你总是为每一个错误都责备自己吗？
1002,1002,女性,40-69,愤怒,当出现问题时，您是否总是责怪和指责自己？,我明白了，谢谢你的耐心。如果可能的话，我想知道您是否认为每当发生不好的事情时，您可能总是倾向于责备自己。
1009,1009,女性,40-69,愤怒,当出现问题时，您是否总是责怪和指责自己？,好的，感谢您回答这个问题，还有任何内疚或有罪的感觉。每当出现问题时，您是否倾向于觉得自己有错？
1010,1010,女性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,嗯，那么也许你内心深处觉得这是你造成的。你是否总是为自己的错误或失败而责备自己，不管你对它们负有多大的责任？
1018,1018,男性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,我很抱歉你现在正在经历这种消极情绪。如果我问，请说实话，您是否会说在向您提出这些观点时，您总是充分考虑其他人的观点？
1033,1033,男性,40-69,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,谢谢你让我知道。你认为你已经考虑了所有的选择，你可以从每个角度来看待你当前的情况吗？
1047,1047,女性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,再次感谢您今天的耐心等待。我想知道您是否真的相信，您在之前的讨论中一直仔细考虑其他人的观点。
1053,1053,女性,40-69,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,谢谢你，这有助于我更好地了解你。你相信你是一个能够听取别人建议并付诸实践的人吗？
1056,1056,男性,40-69,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,有时，只要我们能够倾听，其他人也许能够帮助我们弄清楚情况并变得更强大。你认为自己是一个好的倾听者吗？
1062,1062,男性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,很抱歉听到你的麻烦，我总是在这里提供帮助。您现在是否在与任何亲人相处时遇到困难？
1070,1070,男性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,很抱歉你生气了，我想知道这是否可能是更大事情的征兆。您最近生活中是否发生了其他重大困难？
1077,1077,男性,40-69,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,感谢您的答复。如果你不介意我问一下，你现在正在经历个人危机吗？你的人际关系或其他事情是否特别困难？
1090,1090,女性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,谢谢你对我敞开心扉，我想帮助你放下消极的想法。是否因为与家人或亲人的问题，您现在正在经历一段特殊的痛苦？
1091,1091,男性,40-69,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,我知道这对你来说不是一个好时机，也许还有更重要的事情发生。您是否正在经历个人危机，面临涉及生活中其他人的无法处理的问题？
1095,1095,女性,40-69,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,你知道，我想知道这种愤怒是否有更深的根源。您的生活中是否有任何重大事件、危机或与您关心的人发生重大关系？
1096,1096,女性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,我想知道你的愤怒是否会被隐藏在表面之下的更大的东西触发。您最近在个人生活或职业生活中是否遇到了非凡的困难？
1101,1101,女性,18-39,焦虑,这是由特别事件引起的吗？,我很抱歉听到这个。有没有发生过让你有这种感觉的事情？
1102,1102,男性,18-39,焦虑,这是由特别事件引起的吗？,作为你的朋友，你可以随时告诉我任何事情，我会尽我所能帮助你。你能告诉我是否发生了让你有这种感觉的事情吗？
1103,1103,女性,40-69,焦虑,这是由特别事件引起的吗？,我了解您感到焦虑。请你能告诉我更多关于这个吗？焦虑是由一个或多个特定事件引起的吗？
1105,1105,男性,40-69,焦虑,这是由特别事件引起的吗？,我了解您可能感到焦虑，如果您能提供更多详细信息，我愿意帮助您。认为这可能与任何特定事件有关吗？
1106,1106,男性,18-39,焦虑,这是由特别事件引起的吗？,我很抱歉听到这个。是否有特定的事件让您有这种感觉？
1107,1107,女性,18-39,焦虑,这是由特别事件引起的吗？,感受到您的感受是完全正常的，我理解并愿意提供帮助。您认为这是由什么特定原因引起的吗？
1109,1109,男性,40-69,焦虑,这是由特别事件引起的吗？,我很抱歉听到这个。有什么特别让你有这种感觉的吗？
1112,1112,男性,18-39,焦虑,这是由特别事件引起的吗？,我知道你现在感觉不是最好的。你认为你的感受与任何特定事件有关吗？
1114,1114,女性,18-39,焦虑,这是由特别事件引起的吗？,我很抱歉你有这种感觉。我知道这可能很难谈论，但是否有特定事件导致了这种情况？
1116,1116,男性,18-39,焦虑,这是由特别事件引起的吗？,哦不，很遗憾听到它。是不是发生了什么事情触发了这些感觉？
1117,1117,女性,40-69,焦虑,这是由特别事件引起的吗？,那可能很粗糙。你认为它可能与发生的事情有关吗？
1118,1118,女性,18-39,焦虑,这是由特别事件引起的吗？,得知您感到焦虑，我深表遗憾。是不是发生了什么事情引发了这些焦虑情绪？
1121,1121,女性,18-39,焦虑,这是由特别事件引起的吗？,如果你觉得分享很舒服，你能告诉我这种感觉是否来自发生的特定事情吗？
1122,1122,男性,40-69,焦虑,这是由特别事件引起的吗？,我希望你能应付。你介意我问你是否有特定的事件或问题引起了你的焦虑？
1123,1123,男性,18-39,焦虑,这是由特别事件引起的吗？,哦，那不好。这与发生的任何特定事件有关吗？
1124,1124,女性,18-39,焦虑,这是由特别事件引起的吗？,很抱歉你感觉不太好。有发生过什么事情让你有这种感觉吗？
1127,1127,男性,18-39,焦虑,这是由特别事件引起的吗？,我想如果我们谈谈是什么让你有这种感觉可能会有所帮助。是不是某个特定的事件让您感到苦恼？
1131,1131,女性,40-69,焦虑,这是由特别事件引起的吗？,很抱歉你现在正在经历这个。是否有任何特定事件导致了这种情况？我希望我能做些什么来帮忙。
1132,1132,女性,18-39,焦虑,这是由特别事件引起的吗？,很抱歉听到您有这种感觉，尽管有这种感觉也没关系，您并不孤单。今天有什么特别的事情让你有这种感觉吗？
1133,1133,男性,40-69,焦虑,这是由特别事件引起的吗？,我很遗憾听到你今天感觉不太好。是不是有什么特别的事情让你有这种感觉？
1134,1134,男性,40-69,焦虑,这是由特别事件引起的吗？,哦，很遗憾听到你感到焦虑。这种感觉是由你无法控制的事情引起的吗？
1135,1135,男性,40-69,焦虑,这是由特别事件引起的吗？,我意识到您对某事感到焦虑并希望提供帮助。你认为是不是有什么具体的、已经发生的事情导致了这种感觉？
1136,1136,女性,18-39,焦虑,这是由特别事件引起的吗？,很抱歉听到您今天感到焦虑，这对您来说一定很困难。你今天有这种感觉，有什么特别的原因吗，是不是发生了什么事情？
1137,1137,男性,40-69,焦虑,这是由特别事件引起的吗？,我很抱歉听到这个，我可以联系。有没有什么特别的事情让你有这种感觉？
1139,1139,男性,40-69,焦虑,这是由特别事件引起的吗？,哦，这很难，我们都去过那里，所以我理解。有什么特别的事情引起了你的感受吗？别担心，我们会努力解决的。
1141,1141,女性,18-39,焦虑,这是由特别事件引起的吗？,很抱歉你现在感到焦虑，我想尽我所能提供帮助。我希望你不介意我问，但有没有特别发生的事情？
1144,1144,男性,18-39,焦虑,这是由特别事件引起的吗？,我很抱歉听到它。是不是有什么特别的事情让你有这种感觉？
1145,1145,女性,18-39,焦虑,这是由特别事件引起的吗？,感谢您让我知道您的感受，我想帮助您克服这个问题并感觉更好。请问，您目前的感觉是由特定事件（或事件）引起的吗？
1146,1146,男性,18-39,焦虑,这是由特别事件引起的吗？,听到这真的很难过，但有这种感觉也没关系。是否有什么特定的东西导致了这种感觉？
1147,1147,男性,40-69,焦虑,这是由特别事件引起的吗？,我很抱歉听到这个。发生了什么？有什么特别让你不安的事情吗？
1148,1148,男性,18-39,焦虑,这是由特别事件引起的吗？,我很遗憾听到你有这种感觉。如果您不介意，我想问您这是否是由特定原因引起的。
1150,1150,女性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,这很难。那是最近发生的还是不久前发生的？无论哪种方式，您的感受都是完全有效的。
1151,1151,男性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白。你能告诉我这个事件的时间，以便我进一步了解是什么让你感到焦虑，是最近的还是遥远的？
1154,1154,男性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,谢谢，这可能有助于我知道发生这种情况的时间。你能告诉我，这是最近发生的还是遥远的事件？
1155,1155,男性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,感谢您分享这个。在不详细介绍的情况下，这个事件是最近发生的还是已经有一段时间了？
1156,1156,女性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉这件事发生在你身上。这是最近发生的还是不久前发生的？
1161,1161,男性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我知道谈论这些事情可能很难，所以谢谢你对我敞开心扉。你想告诉我更多关于这件事是什么时候发生的，是最近发生的事情还是过去发生的事情？
1162,1162,女性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我很遗憾听到这个消息，希望你不介意在它发生时与我分享。是最近的还是遥远的？
1172,1172,男性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,好的，我明白了，请告诉我更多关于它的信息。这是什么时候发生的，最近还是前一段时间？
1174,1174,男性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉听到它。这是什么时候发生的，最近还是前一段时间？
1176,1176,男性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,好的，谢谢，我很高兴你能很自在地谈论这个。这个事件是最近还是前一段时间引起了你的焦虑？
1178,1178,女性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉听到这个，我希望你不介意进一步详细说明。这是最近发生的，还是在以前发生的事件？
1180,1180,女性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我知道这对你来说可能很难谈论。我想问一下，是最近发生的事情还是前一段时间发生的事情？
1185,1185,女性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,感谢你的分享。你能告诉我这件事发生并引起你焦虑的事情是最近发生的还是遥远的过去？我越了解，就越能支持你。
1187,1187,女性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,很高兴您能够识别出这一点。这是最近发生的事件还是前一段时间发生的事情？
1189,1189,女性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,哦不，那一定很难。这是最近的还是遥远的？
1191,1191,女性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,好的，有道理，谢谢你告诉我。这个事件是不久前发生的，还是最近发生的？
1193,1193,女性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉发生在你身上，很难经历一些痛苦的事情。这是最近发生的还是前一段时间发生的？
1194,1194,男性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我希望你能谈论它。这是最近引起您焦虑的事情还是过去很遥远的事情？
1195,1195,女性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白了，谢谢你澄清这一点。我想知道，这个事件是最近发生的，还是以前发生的？
1198,1198,男性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白，我很遗憾听到这个消息。请问这感觉是最近发生的事情，还是对过去更遥远的事情的记忆？
1200,1200,女性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道，您是否认为尝试使用协议 6 来重温事件，如果您这样做了，可能会导致这种感觉吗？
1201,1201,男性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我知道这件事让你很痛苦。你最近有没有重温这个事件，试图找到它的结局，但它所做的只是把你在事件中无法忍受的情绪带回来？
1202,1202,女性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您可能知道，协议 6 可用于检查此类事件。您有使用协议 6 的经验吗？而且，如果是这样，您是否发现它使与过去事件相关的困难情绪浮出水面？
1204,1204,男性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,有时它可以帮助通过协议 6 解决与过去的创伤事件相关的焦虑。你是否已经尝试过协议 6，如果是的话，你是否真的发现它带来的情绪过于强烈？
1211,1211,男性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,在某些情况下，协议 6 可用于回顾特别创伤性事件，但这有时会引发麻烦的情绪反应。你之前有没有使用过协议6，它有没有让你有任何无法控制的情绪？
1212,1212,女性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道现在是否有什么东西重新点燃了这种感觉。您是否尝试过记住或重温此事件并因此感到焦虑？
1213,1213,女性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,通过尝试协议 6 来重温创伤性事件会带来消极和无法控制的情绪。您是否尝试通过执行协议 6 重新审视该事件并因此感到不舒服？
1216,1216,女性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,有时不好的感觉可能会回来，因为发生了一些事情让它们再次出现。您最近是否尝试过协议 6，并且无法将自己与过去所产生的负面情绪疏远？
1217,1217,女性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你和我分享这个。请问，你最近有没有讨论过这个过去的事件或试图重温它，这可能让你感到一些不适或带来一些负面情绪吗？
1221,1221,男性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我意识到克服过去的消极想法可能很困难。最近尝试协议 6 是否让您回忆起这个事件，从而使您记忆犹新，并让您感到焦虑？
1222,1222,男性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 6 可能会有很大帮助，但我知道它有时也会引起不必要的压力。您最近是否尝试过协议 6，并在使用后发现自己太苦恼了？
1224,1224,男性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我知道这很难，所以感谢您与我分享。如果你尝试过协议 6，是否会重新点燃你这种不好的感觉？
1226,1226,男性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,处理过去的创伤真的很艰难，我很佩服你的勇气。请问您是否尝试过协议6，但发现它太难了？
1228,1228,女性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我知道协议 6 通常会触发对过去的创伤事件重新产生焦虑感，所以在我推荐它之前，我想知道这是否发生在你身上。协议 6 是您最近尝试过的并且让您感到焦虑的东西吗？
1230,1230,女性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,有时，当我们通过某些协议并发现，正如我们所做的那样，这些协议可以揭示负面情绪和体验。你有没有尝试过协议 6 但发现它太令人痛苦了？
1231,1231,女性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 6 确实可以唤起回忆，这取决于情况的好坏。您是否尝试过协议 6，它是否对您产生了负面影响？
1234,1234,男性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,很好，我相信你对协议 6 很熟悉。你最近有没有尝试过协议 6，如果有，当你想到这些过去的事件时，你是否觉得这带来了一些难以处理的感觉?
1235,1235,女性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,处理过去发生的事情可能很困难。你是否已经尝试过协议 6 来重新审视这个事件，但发现它太难和痛苦了？
